SRD	NA-1	\N	\N	6
SG	SW	\N	\N	1
EC-5	\N	\N	\N	6
LM	BPC	\N	\N	1
SRD	\N	\N	\N	1365
PI	MP	\N	\N	4
MP	PI	\N	\N	2
125th	MX-15	\N	\N	8
MX-16	EC-6	\N	\N	4
J	C	\N	\N	7
MiD	CL	\N	\N	3
EHC/TA	\N	\N	\N	4
MiD	PI	\N	\N	1
EHC	\N	\N	\N	4
HY	GC	\N	\N	4
EC-1	DB	\N	\N	5
MX-15	125	\N	\N	5
MP	\N	\N	\N	1
EC-5	EC-6	\N	\N	3
MiD	TA	\N	\N	5
MX-16	\N	\N	\N	14
125th	125	\N	\N	1
J	\N	\N	\N	2
EC-2	\N	\N	\N	4
TA	\N	\N	\N	1
MX-16	EC-5	\N	\N	1
GC	HY	\N	\N	11
125th	MX-15	125	\N	1
125th/TA	125	\N	\N	5
125th/TA	\N	\N	\N	1
125th	\N	\N	\N	11
PI	\N	\N	\N	1
CL	HY	\N	\N	1
BPC	LM	\N	\N	1
SHP	\N	\N	\N	1
