zoningdistrict1edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
R6,C4-3A,,,,203
R3-2,PARK,,,,187
M1-1,PARKNYS,,,,154
M1-4/R6A,M1-4,R6A,,,115
R4,R4-1,,,,91
R6,PARK,,,,83
R7-1,PARK,,,,79
R3X,PARK,,,,67
PLAYGROUND,PARK,,,,67
R7-2,PARK,,,,56
R4,PARK,,,,56
R3-1,PARK,,,,56
M3-1,PARK,,,,52
R4-1,PARK,,,,51
,R3A,,,,49
R5,PARK,,,,44
R6,C8-1,R7-1,,,43
M1-1,PARK,,,,40
R3A,PARK,,,,38
R3-2,R3A,,,,37
R3-2,R3X,,,,35
PARK,R4-1,,,,34
R1-2,PARK,,,,33
PARK,R1-2,,,,30
M2-1,PARK,,,,29
PARK,R3-2,,,,27
PARK,R3X,,,,27
R3A,R3-1,,,,27
,PARK,,,,26
R3-2,R3-1,,,,25
R3-2,R2,,,,24
,C4-1,,,,23
R3-1,R3-2,,,,21
PARK,M3-1,,,,20
R4,PARKUS,,,,20
R1-2,R3-2,,,,19
R2,M1-1,,,,19
R3X,R3-2,,,,17
R6,C4-3,,,,17
M1-1,R3-2,,,,17
R3X,R3-1,,,,17
R4-1,R4,,,,16
R6,R5,,,,16
R5B,ZR 11-151,,,,15
R5,R6,,,,15
PUBLIC PLACE,PARK,,,,15
R8,PARK,,,,15
R6B,R6A,,,,15
R3-2,R4-1,,,,15
R4A,R3-1,,,,14
M1-1,R5,,,,14
R6B,R6,,,,13
,R2,,,,13
PARK,R6,,,,13
PARK,PARKUS,,,,13
R4A,R3X,,,,12
R4A,PARK,,,,12
R5,R4A,,,,12
R3A,R3-2,,,,12
R7D,M1-1,,,,12
R4-1,R4A,,,,12
R2A,PARK,,,,12
M2-1,PARKNYS,,,,11
M1-4/R8A,M1-4,R8A,,,11
M1-1,C4-2A,,,,10
,M3-1,,,,10
,R7-2,,,,10
R1-2,PARKUS,,,,10
PARK,R7-2,,,,10
PARK,R7-1,,,,10
R6A,R6B,,,,9
R3-1,PARKNYS,,,,9
R8B,R7-2,,,,9
PARK,R10,,,,9
R2,PARK,,,,9
R6,C4-3A,R6B,,,9
R8B,C1-9,,,,9
R6B,M1-2,,,,9
R3-1,R3X,,,,8
R7A,PARK,,,,8
M1-1,R4-1,,,,8
R6A,PARK,,,,8
R1-2,R2,,,,8
C3A,PARK,,,,8
R6B,PARK,,,,8
R6B,R5B,,,,7
C1-9,R8B,,,,7
R7X,M1-2,,,,7
R2,R2A,R4B,,,7
M1-4/R7A,M1-4,R7A,,,7
R6,R6B,C4-3A,,,7
R7B,R5B,,,,7
M1-1,R6,,,,7
R6A,ZR 11-151,,,,6
C8-1,R4,,,,6
C8-1,R5,,,,6
R5B,R6B,,,,6
R3X,R1-2,,,,6
R3X,PARKNYS,,,,6
C4-5X,C4-2,,,,6
,R5,,,,6
R3-2,R2A,,,,6
R7-1,M1-1,,,,6
M1-1,R4,,,,6
R3-2,PARKUS,,,,6
C2-8,R8B,,,,6
,C3,,,,6
,M1-1,,,,6
PARK,R3A,,,,6
C3,PARK,,,,6
M3-1,M1-1,,,,6
R4-1,R4B,,,,6
R5,M1-1,,,,6
R2,PARKNYS,,,,5
R7-1,M2-1,,,,5
M1-1,R3-1,,,,5
R8B,R10,,,,5
R3-2,R4,,,,5
C4-4D,PARK,,,,5
R6A,R4,,,,5
PARK,R2A,,,,5
,C3A,,,,5
PLAYGROUND,R5B,,,,5
R5,R5A,,,,5
R5,R4-1,,,,5
R4A,R4,,,,5
M1-4/R7A,PARK,,,,5
M1-1,R7A,,,,5
M1-1/R6A,R6A,M1-1,,,5
,R3-2,,,,5
R3-2,M1-1,,,,5
R7A,R6B,,,,5
PARK,R7B,,,,5
R7X,M1-3,,,,5
,ZNA,,,,5
R4A,R4-1,,,,4
C1-7A,C1-6A,,,,4
C3,R5,,,,4
C4-2A,R5,,,,4
C4-4,R6,,,,4
C8-1,R3X,,,,4
M1-1,R3X,,,,4
M1-1,R7-1,,,,4
M1-2,PARK,,,,4
M1-4,PARK,,,,4
M2-1,M1-1,,,,4
M3-1,R3A,,,,4
PARK,M1-1,,,,4
PARK,R4,,,,4
PARK,R5,,,,4
PARK,R6B,,,,4
R10,R10A,,,,4
R3-2,C4-2,,,,4
R4A,R5,,,,4
R5,C8-1,,,,4
R5,R4,,,,4
R5,R7A,,,,4
R5A,R6,,,,4
R5B,R5,,,,4
R5B,R6,,,,4
R5D,ZR 11-151,,,,4
R6,C8-2,,,,4
R6,M1-1,,,,4
R6,R4,,,,4
R7A,R9A,,,,4
R7D,PARK,,,,4
R8,R8B,,,,4
R9,R7-2,,,,4
C8-1,R3A,,,,3
R10A,R8,,,,3
C8-1,PARK,,,,3
R9A,R9,,,,3
R4,R5,,,,3
R3-2,R1-2A,,,,3
R3A,R4,,,,3
R7A,R7D,,,,3
PARK,R5B,,,,3
C4-2,R5,,,,3
M1-4,R6,,,,3
R3-2,C8-1,,,,3
M3-1,M2-1,,,,3
M3-1,PARKNYS,,,,3
M1-1/R7-2,PARK,,,,3
C8-2,R7-1,,,,3
,M2-1,,,,3
R2A,R2,,,,3
C4-3,R6,,,,3
R2,R3-1,,,,3
C6-4,PARK,,,,3
R7-2,C1-8X,,,,3
M1-4/R7D,M1-4,R7D,,,3
R6,M1-4/R7A,,,,3
R4,C8-1,,,,3
R2,R3-2,,,,3
R2A,R3-1,,,,3
PARK,M1-2,,,,3
R7B,R7-2,,,,3
R5,R2X,,,,3
R3A,R4B,,,,3
R4-1,R3A,,,,3
R1-1,PARK,,,,3
