zoningdistrict1edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
C6-1,PARK,,,,2
R4,R2,,,,2
R7B,M1-6/R10,,,,2
PLAYGROUND,R4-1,,,,2
R5D,R6A,R4-1,,,2
R1-2,R3-1,,,,2
C5-P,C6-6,,,,2
R7D,C8-3,,,,2
R4,R4A,,,,2
M2-1,C4-3,,,,2
,PARKUS,,,,2
R7X,PARK,,,,2
R6,C8-1,,,,2
PLAYGROUND,R6,,,,2
PARK,R2,,,,2
R6,M1-2,,,,2
R8A,R7-2,,,,2
R8A,R7A,,,,2
C5-1,R8B,,,,2
M1-1,R5D,,,,2
PARK,R7A,,,,2
R8B,C2-8,,,,2
R8B,PARK,,,,2
PLAYGROUND,R8A,,,,2
C4-1,R3A,,,,2
C8-1,R2A,,,,2
R3-2,R1-2,,,,2
R6,R7-1,,,,2
M1-1,R3A,,,,2
R6,R8,,,,2
,M1-2,,,,2
R3-2,R3-1,R3X,,,2
R6A,C4-4A,,,,2
M3-1,R3-2,,,,2
R10,PARK,,,,2
R2,R2A,,,,2
BALL FIELD,PARK,,,,2
M1-1,M1-2,,,,2
R6A,R5,,,,2
PARK,C6-3D,,,,2
,M2-2,,,,2
PARK,M2-1,,,,2
C3,M1-1,,,,2
C4-4A,R6B,,,,2
PARK,R8,,,,2
C4-4A,R6A,,,,2
PARK,R10,C4-7,,,2
M1-2/R5D,M1-2/R5B,,,,2
R2A,R1-2,,,,2
R3-2,R5D,,,,2
R6B,R4,,,,2
R5,C4-2A,,,,2
C4-4,R7-2,,,,2
R2A,R3-2,,,,2
C4-4,PARK,,,,2
R3A,R2,,,,2
R3A,R2A,,,,2
R10A,R10,,,,2
C4-4,M2-1,R7-2,,,2
R5,R3A,,,,2
C4-4,C6-2,,,,2
PARK,R8A,,,,2
R2A,R4B,,,,2
C6-3,C6-1,,,,2
C8-2,R6,,,,2
C8-2,R5,,,,2
C4-3A,ZR 11-151,,,,2
R7A,C4-6,,,,2
R1-1,R1-2,,,,2
PARK,R4A,,,,2
R3X,R4A,,,,2
R3-1,R1-2,,,,2
R5B,R4,,,,2
R5B,R4-1,,,,2
R5B,R4B,,,,2
R3-1,R2,,,,2
C4-2A,M2-1,,,,2
R4,M1-1,,,,2
R1-2,R1-1,,,,2
R5,R3-1,,,,1
R5,R3-2,,,,1
R5,R3X,,,,1
,R2A,R4,,,1
C6-3,C6-4,,,,1
R5,R4A,R7A,,,1
C6-2A,R8B,,,,1
C6-2A,C6-3A,,,,1
R5,R6B,,,,1
R5,R7A,R6,,,1
,R3-1,,,,1
C2-8,PARK,,,,1
R5A,R7-1,,,,1
R5B,PARK,,,,1
,R3A,C3,,,1
R5B,R5D,,,,1
C2-8,C6-3,,,,1
R5B,R6A,,,,1
C6-1G,PARK,,,,1
R5D,C4-3,,,,1
R5D,R3A,,,,1
R5D,R4A,,,,1
,R4,M2-1,,,1
R6,C4-3A,M1-4D,,,1
R6,C4-3A,R5B,,,1
C5-3,C6-6,C6-6.5,,,1
C5-3,C5-2.5,,,,1
R6,C4-4,,,,1
C5-2,PARK,,,,1
,R4-1,R6,R2,,1
,R4-1,,,,1
R6,R3A,,,,1
,R4A,C3A,,,1
R6,R4A,,,,1
C5-1,R10,,,,1
R6,R5A,,,,1
R6,R6A,,,,1
C5-1,C5-3,,,,1
R6,R7-1,C8-1,,,1
R6,R7B,,,,1
R6,R7D,,,,1
R6,R8A,,,,1
R6A,C4-4L,,,,1
R6A,M1-1,,,,1
C4-4D,R7-1,,,,1
R6A,R3A,,,,1
C4-4D,R5B,,,,1
R6A,R5,R7A,,,1
R6A,R5B,,,,1
R6A,R6B,R6B,,,1
R6A,R7A,,,,1
R6B,C4-2A,,,,1
C4-4A,PARK,,,,1
R6B,M1-4/R6B,,,,1
C4-4,R7B,,,,1
R6B,R3X,,,,1
R6B,R5,,,,1
R6B,R6,R6A,,,1
R6B,R6A,C4-2A,,,1
R6B,R6A,R5B,,,1
C4-4,M2-1,,,,1
R6B,R7A,,,,1
R6B,R8A,,,,1
R7-1,C8-1,,,,1
C4-4,C8-3,,,,1
R7-1,R3-1,,,,1
R7-1,R3A,,,,1
R7-1,R6,,,,1
R7-1,R7A,,,,1
R7-1,R8,,,,1
R7-2,M1-4,,,,1
R7-2,M2-2,,,,1
R7-2,R8,,,,1
R7A,C8-2,,,,1
R7A,M1-1,,,,1
R7A,M1-5/R7-2,,,,1
R7A,R5,C8-1,R7-1,,1
R7A,R5,,,,1
R7A,R5D,,,,1
R7A,R6,R6,,,1
R7A,R6,,,,1
R7A,R6A,,,,1
R7A,R7-1,,,,1
R7A,R8,,,,1
R7A,R8A,,,,1
R7A,R8B,,,,1
,R4A,,,,1
R7A,ZR 11-151,,,,1
C4-2A,M1-1,,,,1
R7B,R6B,,,,1
R7B,R7-1,,,,1
R7B,R8X,,,,1
R7D,C4-6,,,,1
C4-2A,C4-2,M2-1,,,1
C2-8,C4-6,,,,1
R7D,R7A,,,,1
R7D,R9A,,,,1
C4-2,R6,,,,1
R8,C6-2,,,,1
C4-2,PARK,,,,1
R8,R6A,,,,1
R8,R8A,,,,1
C1-6A,R8B,,,,1
R8A,R8,,,,1
R8B,C1-8A,,,,1
C4-2,M2-1,,,,1
R8B,C1-9A,R6B,,,1
R8B,R10,R8,,,1
C4-2,C8-2,,,,1
BALL FIELD,R2,,,,1
R9A,R8A,,,,1
C4-1,R3-2,,,,1
C3A,R4A,,,,1
C3A,R3-2,,,,1
,C8-1,,,,1
C3,R3A,,,,1
,M1-2,M2-1,,,1
M3-1,M3-2,,,,1
M3-1,R3-1,,,,1
M3-2,PARK,,,,1
PARK,C1-7,,,,1
PARK,C2-7,,,,1
PARK,C4-2,R6,,,1
PARK,C4-3,,,,1
PARK,C4-4,R6,,,1
PARK,C4-4L,,,,1
PARK,M1-1,R6,,,1
PARK,M3-1,R6,,,1
M2-4,M1-5,,,,1
PARK,PARKNYS,,,,1
M2-3,M3-2,,,,1
M2-1,R4-1,,,,1
PARK,R1-1,,,,1
M2-1,R3-2,,,,1
M2-1,M3-1,,,,1
M1-6/R10,R10,,,,1
M1-6,C6-4X,,,,1
,M2-3,,,,1
M1-5/R9,M1-6/R10,,,,1
PARK,R4A,R5,,,1
PARK,R5,M1-1,,,1
C3,PARKUS,,,,1
PARK,R6,C4-2,R7A,,1
M1-4/R8A,M1-4,R8A,R6A,,1
PARK,R6A,,,,1
,M3-2,,,,1
M1-4/R7X,M1-4/R7A,,,,1
PARK,R7A,R6,,,1
PARK,R7A,R8,,,1
M1-4/R7A,R6B,M1-4,R7A,,1
PARK,R8B,,,,1
M1-4/R7A,M1-4/R6B,,,,1
M1-4/R6A,M1-4,R6A,R8A,,1
PLAYGROUND,R7-2,,,,1
PLAYGROUND,R7B,,,,1
M1-4/R6A,M1-4,R6A,R5B,,1
R10,R8B,,,,1
R10A,R8B,,,,1
M1-4,ZR 11-151,,,,1
M1-4,M2-1,,,,1
R1-2,R2A,R3-1,,,1
M1-4,M1-1,,,,1
R1-2,R3A,,,,1
R1-2,R7A,,,,1
M1-3,M3-1,,,,1
M1-2/R6A,M1-2/R6,R6B,,,1
M1-2/R6,R6A,,,,1
M1-2/R6,M1-2/R6A,,,,1
R2,R3X,,,,1
R2,R4,,,,1
R2A,R3A,,,,1
R2A,R4,,,,1
R2A,R4-1,,,,1
R3-1,C8-1,R3-2,,,1
M1-2,M1-2/R5B,,,,1
M1-1/R7-2,R6,,,,1
R3-1,R3-2,R3X,,,1
R3-1,R3A,,,,1
M1-1,R7-2,,,,1
R3-1,R5,,,,1
R3-2,C3A,R3A,,,1
R3-2,C4-1,,,,1
M1-1,R6A,,,,1
R3-2,M3-1,,,,1
M1-1,R4A,,,,1
R3-2,R1-1,,,,1
M1-1,M3-1,,,,1
M1-1,M2-1,,,,1
M1-1,M1-5,,,,1
R3-2,R3X,R3-1,,,1
M1-1,C8-3,,,,1
M1-1,C8-1,R5,,,1
R3-2,R4B,,,,1
R3-2,R5,M1-1,,,1
R3-2,R5,,,,1
R3A,M1-1,R3-2,,,1
M1-1,C4-2A,C4-2,,,1
R3A,R1-2,,,,1
C8-3,R7-1,,,,1
C8-3,M1-1,,,,1
R3A,R5,,,,1
R3X,M1-1,,,,1
C8-2,PARK,,,,1
C8-1,R7-1,,,,1
R3X,R4,,,,1
R3X,R5,,,,1
R4,M1-1,M1-1,,,1
R4,M3-1,,,,1
C8-1,R6,,,,1
C8-1,R5B,,,,1
R4,R3-1,,,,1
R4,R3-2,,,,1
R4,R3A,,,,1
R4,R5B,,,,1
R4,R6,,,,1
R4,R6A,R5,,,1
R4,R6A,,,,1
R4-1,M1-2,,,,1
C8-1,R3-2,,,,1
R4-1,R2,,,,1
R4-1,R4,R5B,,,1
C8-1,M3-1,,,,1
R4-1,R5,R6,,,1
R4-1,R5,,,,1
R4-1,R5B,,,,1
R4-1,R5D,,,,1
C8-1,M1-1,,,,1
C6-7,C5-3,,,,1
C6-6,C6-6.5,,,,1
,R1-1,R1-2,,,1
R4A,R5B,R4,,,1
R4A,R6,,,,1
R4A,R6B,,,,1
R4B,M1-1,,,,1
R4B,R3X,,,,1
R4B,R4,,,,1
R4B,R4-1,,,,1
R4B,R4A,,,,1
R5,C4-4,,,,1
C2-8A,R8B,,,,1
C6-4,C6-7,,,,1
C6-4,C6-6,,,,1
