boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
4,3334,260,4033340260,R3-2,R6,,,,,,,,,,,14B,,8217.745346874,,4033340260,R6,R3-2,,,,,,,,,14B,,0106000020E610000001000000010300000001000000260000004972B339747552C06452B8615F5B4440236C974F6E7552C07D53AAE3545B4440F11FC342687552C04226FB274A5B4440236097C9627552C0DFC03972405B44400F47AB52617552C051AE11D93D5B4440D0FB64FD687552C057316AA5355B4440FC5392376B7552C049CBFEA9395B4440E4CA83E86B7552C02C6535E93A5B4440473DB19C6C7552C079753D2E3C5B44407F72625B6D7552C0A13441863D5B4440D7A012056E7552C072F85CB83E5B4440BA6524A36E7552C0CF6185D53F5B44407676D3636F7552C03E301D31415B44401A4EFC24707552C0DAC2918D425B4440618338C7707552C05B803BB2435B44408FF3016E717552C09EA11EDF445B44402A4CA32E727552C02D1C9D3A465B4440730406DF727552C0E6F5CB78475B44408397287D737552C062261396485B44406A35D931747552C0D72307DC495B4440B50B8556757552C00488FEEB4B5B44409CF44771767552C0E8EB14EA4D5B4440FF485932777552C09E925C464F5B4440BA0212DE777552C06246237C505B4440379E8D04787552C0263E92C1505B4440DF8BC2D2767552C0B2BD5457525B444092B57C56787552C0BCEF1512555B444078CBEFBF787552C079B011D0555B444070CB7C6E797552C092D5980A575B444021BA732F7A7552C0DB1F0167585B4440E2D25AE07A7552C0F8639FA6595B44405AD50F8B7B7552C0786AFFDA5A5B44401D990A2B7C7552C01216FDFB5B5B4440D88A45DC7C7552C006CC243C5D5B444003EF2A9D7D7552C08BFEA5985E5B4440F1CBA5877E7552C0FC5B4C40605B4440E72378D7787552C03D9E2C92675B44404972B339747552C06452B8615F5B4440
3,276,1,3002760001,R6,C6-2A,,,C2-3,,DB,,,LH-1,,,16C,,531.648052826524,,3002760001,C6-2A,R6,,,C2-3,,DB,,,LH-1,16C,,0106000020E6100000010000000103000000010000000B000000D5EB323D8A7F52C0612CC94258584440D1479AD7897F52C065C41CF15958444090DB95C0887F52C0CA88A0565958444034EFE6BD877F52C0103C68C75858444041D544B9867F52C0785B8D3758584440011AD625867F52C0D16973E557584440C6424890867F52C043B69D2256584440B28CC449887F52C01483B0D44E5844402696DB168B7F52C0D1B7E35E50584440F1BABD57897F52C09153A6C457584440D5EB323D8A7F52C0612CC94258584440
1,1141,15,1011410015,C4-6A,R8B,,,,,,,,,,,8C,,469.558584909886,,1011410015,C4-6A,,,,,,,,,,8C,,0106000020E6100000010000000103000000010000000700000057F5880CD17E52C02DCBF7EB61634440EC3EDA3CD07E52C0A278883D61634440CF0E8B4ECF7E52C062DE5F7560634440F050FC3DD27E52C0D0A2808A5863444062091ED5D47E52C029CFA3B65A634440EFAB72E5D17E52C078FC25A26263444057F5880CD17E52C02DCBF7EB61634440
1,1142,1,1011420001,C4-6A,,,,,,,,,,,,8C,,1248.84036588948,,1011420001,C4-6A,R8B,,,,,,,,,8C,,0106000020E610000001000000010300000001000000060000003AE97236D67E52C0F221CC6381634440051158DECF7E52C0A463B3117C63444023CD7117CE7E52C0BCD88A937A63444014F16B19D17E52C0E374927672634440B81B336AD67E52C0374E13E7766344403AE97236D67E52C0F221CC6381634440
4,11980,6,4119800006,R5D,R3A,,,C1-3,,,,,,,,18C,,552.89216504246,,4119800006,R5D,,,,C1-3,,,,,,18C,,0106000020E6100000010000000103000000010000000700000011E95B54CD7252C04EC01C68CC5744404C34D697D17252C0EAC534FCC957444090F59ECED37252C080E74CBAC8574440F54EE1E5D47252C0C78E2831CD574440EE3298EFCE7252C06D820494D057444075C0653ECE7252C03E45DEC7CE57444011E95B54CD7252C04EC01C68CC574440
2,5439,26,2054390026,R3A,,,,,,,,,,,,7C,,368.939143449068,,2054390026,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000050000002E2A6BC8737452C04B3324E98B694440B6CF56C2717452C0A3BD77F88D694440E9D720E36F7452C0241544D9846944400906861B727452C0F7554EBF836944402E2A6BC8737452C04B3324E98B694440
4,13129,50,4131290050,R2,R2A,,,,,,,,,,,19A,,532.425128981471,,4131290050,R2,,,,,,,,,,19A,,0106000020E610000001000000010300000001000000060000007470858CE76F52C08915EA7939564440E11D0D3EEE6F52C0E39C3F4B3E56444014B5179AED6F52C0F09E891C40564440734819FCEC6F52C07AC6E4DC41564440B58FD658E66F52C037356A503D5644407470858CE76F52C08915EA7939564440
4,12439,13,4124390013,R5D,,,,C1-3,,,,,,,,19A,,349.29274083674,,4124390013,R5D,R3-2,,,C1-3,,,,,,19A,,0106000020E6100000010000000103000000010000000700000084F0BD11FB7052C0F8919FA6895844409031DC35FB7052C05B1CA36B885844407973933CFC7052C0F675AD8C8A584440DE932F68FB7052C003CFECC89158444020CFAEF9F87052C0B2F21C18915844409C4B32DEF97052C0D177444F8958444084F0BD11FB7052C0F8919FA689584440
2,3384,62,2033840062,R4A,,,,C1-3,,,,,,,,2A,,466.160879299045,,2033840062,R4A,R5B,,,C1-3,,,,,,2A,,0106000020E61000000100000001030000000100000008000000503A1BD6767752C097736BB6F1724440AA69B60B767752C0022660C4E8724440D0B7DEFA787752C02F648F23E8724440041E7360797752C03AB7DBA0EC7244403CB3B295797752C0DF1F5EFBEE724440089545C5797752C0E7899A15F17244408472C117787752C0C5D68F71F1724440503A1BD6767752C097736BB6F1724440
4,12514,25,4125140025,R5B,R3A,,,C1-3,,,,,,,,19A,,1662.87999689579,,4125140025,R5B,,,,C1-3,,,,,,19A,,0106000020E610000001000000010300000001000000100000008EC675B33C7152C080A2F5935E57444085EF01A03E7152C093B4C8235E5744404EBEF905417152C0AD7FF2975D5744407F493F13427152C03F059F5A5D5744404FD60928437152C0A973941B5D574440614BD13F447152C0EFE1DCDB5C574440BADE854A457152C078501F9F5C574440B991853B477152C010DBEC2D5C574440B402C049497152C0736011B65B5744405C8BBE4B4A7152C034DF4E7B5B574440F51BB7464B7152C089D326425B57444073AD1D584C7152C08338E1035B574440854C056D4D7152C0F031D0C45A574440FAAD50FE4D7152C05491B7A35A5744407335A9E2447152C0310578B6675744408EC675B33C7152C080A2F5935E574440
4,13515,52,4135150052,R4B,R3-1,,,,,,,,,,,19B,,187.819169044495,,4135150052,R4B,,,,,,,,,,19B,,0106000020E61000000100000001030000000100000005000000DA9FE0CEBE6F52C000DDB8F30C5544408CF98551BF6F52C08F0281520B554440537D23B3C46F52C05FB56C2F0F5544409C04952FC46F52C04169FDCF10554440DA9FE0CEBE6F52C000DDB8F30C554440
4,3316,5,4033160005,R2,R3-2,,,,,,,,,,,14B,,289.942540943623,,4033160005,R2,,,,,,,,,,14B,,0106000020E610000001000000010300000001000000050000001715693B717552C0B765BBDD035B444017C2E80C727552C09F64F256055B44402D3B4C846B7552C013FEA5D80D5B4440F2E7CDB26A7552C0D0A16E5F0C5B44401715693B717552C0B765BBDD035B4440
1,1123,5,1011230005,R8B,C1-8A,,,,,,,,,,,8C,,197.78579121083,,1011230005,R8B,,,,,,,,,,8C,,0106000020E610000001000000010300000001000000070000004CF97AA3A77E52C00FBEB1325A634440BD207E9EAA7E52C04F23D11152634440914901AFAB7E52C0FCB6F6F752634440CE92E724AA7E52C0F4D4512A57634440B5357C68A97E52C07943F92B59634440D544C1B3A87E52C04A5EA1185B6344404CF97AA3A77E52C00FBEB1325A634440
1,2175,70,1021750070,C4-4,R7A,,,,,IN,,,,,,3A,,938.386646233499,,1021750070,R7A,C4-4,,,,,IN,,,,3A,,0106000020E610000001000000010300000001000000060000000DD9AA6A567B52C0CC95FAB48F6E4440CF1B17FF507B52C00DF4DFB5936E4440D3282E884B7B52C05B1622BF976E44402F22AA404A7B52C08E2080BF936E4440D3182723557B52C094A557B58B6E44400DD9AA6A567B52C0CC95FAB48F6E4440
3,7966,51,3079660051,R5B,C8-1,,,,,,,,,,,23A,,206.285281315446,,3079660051,C8-1,R5B,,,,,,,,,23A,,0106000020E61000000100000001030000000100000005000000FBC14BFF6B7A52C0BB4027FD5F5244402FFF75D56C7A52C04FFE3D7A61524440F6D40341687A52C0E5D83E6C675244408DEADA6A677A52C022C729EF65524440FBC14BFF6B7A52C0BB4027FD5F524440
3,170,47,3001700047,R6B,C6-1,,,,,DB,,,,,,16C,,185.423705048859,,3001700047,R6B,,,,,,DB,,,,16C,,0106000020E61000000100000001030000000100000006000000CD9239302E7F52C0FE2D680733584440F6C28401317F52C0A6DBB7AF2A58444086894903327F52C026E315782B584440CCC784782F7F52C02F97F1FE32584440EE88FE312F7F52C09067C6CF33584440CD9239302E7F52C0FE2D680733584440
2,5439,31,2054390031,R3A,,,,,,,,,,,,7C,,295.631044358015,,2054390031,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000006000000A501FE956D7452C03F14295A816944404ADFD8046D7452C01560BA987E6944402B7EEF93727452C0CCD704D57B6944408080F2B6727452C047E8A1737C6944401B2D9C2E737452C041ABB8917E694440A501FE956D7452C03F14295A81694440
1,772,85,1007720085,C2-7A,C1-6A,,,,,,,,,,,8D,,269.738115491346,,1007720085,C2-7A,,,,,,,,,,8D,,0106000020E61000000100000001030000000100000007000000A1ED5F8FE47F52C072D5514D545F4440402D3004E97F52C0776F7210585F4440FCD71EE1E77F52C02A4236285B5F44405D435BB8E47F52C068105B7F585F4440D7A72248E57F52C06067CEEF565F44402D830D00E47F52C058DA91DB555F4440A1ED5F8FE47F52C072D5514D545F4440
4,4468,10,4044680010,R1-2,R2A,,,,,,,,,,,7D,,423.097940593958,,4044680010,R1-2,,,,,,,,,,7D,,0106000020E61000000100000001030000000100000009000000671B60FF977452C0E25C4A7A22664440A02887069A7452C0206C79EE20664440D52C61319B7452C0A3F55157246644404E9CE94A9B7452C0EDB93D4724664440417193059C7452C0E0005C6826664440DF2D87EC9B7452C01A85EF79266644405E4728049D7452C01738A0AA29664440318200659B7452C046F8E1722C664440671B60FF977452C0E25C4A7A22664440
3,4017,15,3040170015,R7A,,,,C2-4,,EC-5,,,,t,Option 1 and Deep Affordability Option,17C,,410.532766804099,,3040170015,R7A,R5,,,C2-4,,EC-5,,,,17C,,0106000020E6100000010000000103000000010000000500000040E574D2927852C06FCC07013756444041D7818A917852C03D9771082D5644408834E4D2937852C08B04096A2C564440F147A018957852C0345053513656444040E574D2927852C06FCC070137564440
4,9139,413,4091390413,R4-1,R4,,,,,,,,,,,18A,,208.868718247861,,4091390413,R4-1,,,,,,,,,,18A,,0106000020E61000000100000001030000000100000006000000A171DA5FCD7652C07C5B291D8456444002D43840CD7652C07B379B2483564440C648F522D37652C09C7B0776815644401E379E62D37652C0BC0ADB7583564440D28FB6F2CD7652C029349E0385564440A171DA5FCD7652C07C5B291D84564440
