boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
4,13253,1,4132530001,R2,R3-2,,,,,,,,,,,19D,,1503.13424396515,,4132530001,R2,,,,,,,,,,19D,,0106000020E6100000010000000103000000010000000C000000B8373325AD6E52C0D12282F64D55444077B24E17AA6E52C00B7712F24D554440D3C5FAF3A76E52C00F1BF7EE4D55444095D9A6D0A56E52C0B06DDBEB4D554440CF3254ADA36E52C07E70BFE84D5544406048008AA16E52C05431A1E54D5544403B26A84C9F6E52C0FC515FE24D554440CE5AEFF49E6E52C09B08E0E14D5544400326FB349F6E52C0DDAC926B49554440044BAACEB26E52C01C601AAD4955444060BD697DB26E52C046E143FE4D554440B8373325AD6E52C0D12282F64D554440
2,4564,65,2045640065,R4,R6B,,,C2-3,,,,,,,,4A,,272.708599895239,,2045640065,R6B,R4,,,C2-3,,,,,,4A,,0106000020E610000001000000010300000001000000050000004111BFFB2A7652C0A9DF072F586F44401CACF1D92B7652C00ECDC426566F444014DA8730317652C09FB07FAB5B6F4440F5B07252307652C0132AE0B35D6F44404111BFFB2A7652C0A9DF072F586F4440
1,772,75,1007720075,R8B,C2-7A,,,,,,,,,,,8D,,1860.60047679394,,1007720075,C2-7A,R8B,,,,,,,,,8D,,0106000020E6100000010000000103000000010000000900000004930B44DD7F52C0590CA1134E5F4440F0A22615E07F52C0632BB33F465F4440C248FC4FE57F52C0253616A94A5F444009CFE179E27F52C0526EE78A525F44405BD68C86E37F52C00075BC6D535F44407A62AB9DE07F52C044CAA4835B5F4440AA0DDB99DB7F52C0B8F3B94A575F4440B07A4988DE7F52C09F796F254F5F444004930B44DD7F52C0590CA1134E5F4440
1,1120,160,1011200160,C4-7,,,,,,L,,,,,,8C,,198.954808015376,,1011200160,C4-7,R8,,,,,L,,,,8C,,0106000020E61000000100000001030000000100000005000000C8CA1AE8BF7E52C02CD6FE3D1E6344403467ACE7BC7E52C01F53F26C26634440767F68D7BB7E52C012AD878725634440FE85D4D7BE7E52C0235796581D634440C8CA1AE8BF7E52C02CD6FE3D1E634440
2,5439,29,2054390029,R3A,,,,,,,,,,,,7C,,455.825020901859,,2054390029,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000008000000A501FE956D7452C03F14295A816944401B2D9C2E737452C041ABB8917E694440BA9A59AA737452C0492941C2806944401CFB611B747452C0D99565C1826944400906861B727452C0F7554EBF83694440E9D720E36F7452C0241544D984694440CE8BA7726E7452C0DA8B0C9085694440A501FE956D7452C03F14295A81694440
2,5439,51,2054390051,R3A,,,,,,,,,,,,7C,,181.08963945508,,2054390051,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000090000009E9835D4637452C00C82E4724B694440E56287E1647452C09FE5589450694440920673F1647452C0232DD08C5069444053FF2D28657452C0C89ABE975169444020579670657452C0E98FDAF852694440D4CAB133647452C0559E73965369444068D0B492627452C0D465C9A44B694440496AD87A637452C04188263B4B6944409E9835D4637452C00C82E4724B694440
4,13036,68,4130360068,R3X,,,,,,,,,,,,19A,,822.101441413164,,4130360068,R3X,R3-2,,,,,,,,,19A,,0106000020E610000001000000010300000001000000070000000315977F577052C06A860B722B5644401548FFC35A7052C0EB8B1C502D564440BA4DBA9B577052C0565E6BE3395644403A067C16577052C047A4E69739564440FEAD3308557052C032E49D6D3856444091E26F56547052C0ACEADB08385644400315977F577052C06A860B722B564440
4,12046,11,4120460011,R3A,R5D,,,,,,,,,,,18C,,307.565025543794,,4120460011,R5D,R3A,,,,,,,,,18C,,0106000020E6100000010000000103000000010000000700000016C7A215E67252C04303084F4E564440F7FA83CCE57252C070B45F104D564440C84EB471EB7252C043CB700E4A56444096DDB385EB7252C00962F0614A5644402E289989EB7252C0537C418A4E564440B5854531E67252C0A74B79C74E56444016C7A215E67252C04303084F4E564440
2,3830,142,2038300142,R5,M1-1,,,,,,,,,,,4B,,292.478878553957,,2038300142,R5,,,,,,,,,,4B,,0106000020E61000000100000001030000000100000005000000DADDBBF11E7652C045782953AA6A4440F9561B3A1D7652C08AA2D9C9AA6A4440BB51331F1C7652C0313BED54A16A444056746DD71D7652C0C9FF14DEA06A4440DADDBBF11E7652C045782953AA6A4440
2,5439,27,2054390027,R3A,,,,,,,,,,,,7C,,261.028515525162,,2054390027,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000B6CF56C2717452C0A3BD77F88D6944407C147D72707452C0B2954F4E8F694440CE8BA7726E7452C0DA8B0C9085694440E9D720E36F7452C0241544D984694440B6CF56C2717452C0A3BD77F88D694440
4,3170,21,4031700021,R4B,,,,,,,,,,,,14A,,147.230799943209,,4031700021,R4B,R7-1,,,,,,,,,14A,,0106000020E61000000100000001030000000100000005000000291011E2A47652C04399447FF25C44402BBA8747A57652C035EC573EF15C444064A272BDAA7652C02C38A53AF55C44406FA82D58AA7652C098FAB47BF65C4440291011E2A47652C04399447FF25C4440
2,5439,36,2054390036,R3A,,,,,,,,,,,,7C,,236.883758127689,,2054390036,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000060000008731732F6B7452C04DEA25A575694440797C03B86A7452C0E2E2AE5E736944402512061E707452C0D11969AF706944407E30D95B707452C0CD1F7AC771694440FDCDB09D707452C039B3C6F1726944408731732F6B7452C04DEA25A575694440
4,3316,37,4033160037,R2,R3-2,,,,,,,,,,,14B,,503.681068383157,,4033160037,R2,,,,,,,,,,14B,,0106000020E610000001000000010300000001000000080000002D3B4C846B7552C013FEA5D80D5B4440480A04B46B7552C066C78F2E0E5B444068951A45677552C0AF062CF4135B4440E57D4F2F657552C0E1079D28105B4440E4B3DD9A697552C05E9360670A5B44400454071C6A7552C005C6F34F0B5B4440F2E7CDB26A7552C0D0A16E5F0C5B44402D3B4C846B7552C013FEA5D80D5B4440
1,203,21,1002030021,C6-1G,C6-2G,,,,,LI,,,,,,12C,,534.579794555902,,1002030021,C6-1G,,,,,,LI,,,,12C,,0106000020E6100000010000000103000000010000000600000078E99CC3BA7F52C09601BA61C75B44402C0CAF0BBC7F52C0CB1DE753C35B4440FE00D69FC17F52C07786B844C75B444029D2BA36C27F52C0168D4DAFC75B4440777568EEC07F52C0CB80F4BCCB5B444078E99CC3BA7F52C09601BA61C75B4440
3,4018,19,3040180019,R7A,,,,C2-4,,EC-5,,,,t,Option 1 and Deep Affordability Option,17C,,185.335824787617,,3040180019,R7A,R5,,,C2-4,,EC-5,,,,17C,,0106000020E6100000010000000103000000010000000B00000030657EF67B7852C0B4DAC041345644408E2EA751817852C00098EAB132564440E3515956817852C0620420D632564440653CE490817852C0D7CDEC9934564440F18D72D0807852C0DC950BD23456444056F0C5E87F7852C0C6D89E153556444035EA16FD7E7852C071B45B5A355644400241F81D7E7852C0E7586F9B35564440862536327D7852C071DA31E035564440486CBC357C7852C0A417C5293656444030657EF67B7852C0B4DAC04134564440
2,4728,42,2047280042,C8-1,R5,,,,,,,,,,,2B,,579.029887929559,,2047280042,C8-1,,,,,,,,,,2B,,0106000020E6100000010000000103000000010000000B000000965808BB0C7652C0C4FF8CF76B704440FE7AB029117652C089EB7FDB647044404085168C127652C07044119D697044403B1FEA020F7652C0493A63F96B704440CB9AD65F0F7652C0DCD7A6386D70444096FEFA810E7652C0AE5DC4CC6D704440C6ED65670F7652C00AD4F2E070704440DF19334A107652C0E50628EC737044402ADA9F05117652C0BF2E0F7076704440CF2A0EFB0F7652C0C531092277704440965808BB0C7652C0C4FF8CF76B704440
3,7962,36,3079620036,R5B,,,,,,,,,,,,23A,,372.309028826654,,3079620036,R5B,M1-1,,,,,,,,,23A,,0106000020E6100000010000000103000000010000000600000039A3D7D5977A52C0BF57F8801B524440077322509C7A52C0150E62A4155244405D7612D99D7A52C0ED7E8D62185244404FD2C85E997A52C09042243F1E5244409681A6A0987A52C04DAD5FEB1C52444039A3D7D5977A52C0BF57F8801B524440
2,4564,83,2045640083,R4,R6B,,,C2-3,,,,,,,,4A,,252.472272366285,,2045640083,R6B,R4,,,C2-3,,,,,,4A,,0106000020E61000000100000001030000000100000005000000B5B06112257652C0DA17BB2F4F6F44409A734937247652C05D681130516F444007A6FE321F7652C0366A60004C6F44409EC7150E207652C020530C004A6F4440B5B06112257652C0DA17BB2F4F6F4440
3,4017,19,3040170019,R7A,,,,C2-4,,EC-5,,,,t,Option 1 and Deep Affordability Option,17C,,620.393802136183,,3040170019,R7A,R5,,,C2-4,,EC-5,,,,17C,,0106000020E6100000010000000103000000010000000600000041D7818A917852C03D9771082D56444040E574D2927852C06FCC070137564440A7183A668F7852C049687B09385644400FAACF358E7852C040C8CEED2E56444043A8AD1A8E7852C09F94F41D2E56444041D7818A917852C03D9771082D564440
1,1121,5,1011210005,R8B,C1-8A,,,,,,,,,,,8C,,209.787907786667,,1011210005,R8B,,,,,,,,,,8C,,0106000020E6100000010000000103000000010000000600000046ECAAA0B67E52C0DFBB4733316344402224A631B67E52C00E0DBDD5306344406115102FB97E52C02BAB8DB228634440131AB44EBA7E52C053303DA32963444052358053B77E52C04EF5F7C93163444046ECAAA0B67E52C0DFBB473331634440
4,10381,52,4103810052,R5D,,,,C1-3,,,,,,,,19A,,200.762325361371,,4103810052,R5D,R3A,,,C1-3,,,,,,19A,,0106000020E61000000100000001030000000100000005000000A8B067E4CD7052C07A337F559758444004364B59D47052C0A107132B99584440257EFC1FD47052C0EEBFE9EB9A584440FF1EF4F0CD7052C07445302A99584440A8B067E4CD7052C07A337F5597584440
4,9109,30,4091090030,R4-1,R6B,,,,,,,,,,,18A,,235.970861410722,,4091090030,R4-1,,,,,,,,,,18A,,0106000020E61000000100000001030000000100000006000000034007AF637652C030D6C15A16574440438D532B5E7652C0B726DA8F19574440D06F65F25D7652C09D98E7A5185744408D8FC5A55D7652C09BFE0B6B175744403DAF7729637652C000E0F33514574440034007AF637652C030D6C15A16574440
2,5439,47,2054390047,R3A,,,,,,,,,,,,7C,,194.631796725094,,2054390047,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000C6D6CF1A667452C07A2D19DE5C694440E5805F2F6B7452C08E8B54575A6944409F96DA9E6B7452C0635D61505C69444004881283667452C0C590C0DA5E694440C6D6CF1A667452C07A2D19DE5C694440
2,2904,20,2029040020,M1-1,,,,,,,,,,,,3D,,343.543210968375,,2029040020,M1-1,M1-4,,,,,,,,,3D,,0106000020E610000001000000010300000001000000090000007385CE8EC47952C08B231326926B4440D1732799C27952C0362DDEE1906B4440134179EDC47952C04A03AA95886B444019726725C57952C0B02E6DCE876B44404AE2ACD4C67952C0FF8BD3E7886B444078669BF5C57952C03E7D77028C6B4440CB22C3B0C57952C06A80B1F78C6B4440122A66F6C57952C0305A22258D6B44407385CE8EC47952C08B231326926B4440
2,3385,9,2033850009,R5B,R4A,,,C1-3,,,,,,,,2A,,236.967037264258,,2033850009,R5B,,,,C1-3,,,,,,2A,,0106000020E61000000100000001030000000100000005000000B8022D957B7752C0F03C17460E734440756D618C817752C099CE6B020D734440B9AC7BC1817752C09911943E0F734440CADD46CA7B7752C094A63D8210734440B8022D957B7752C0F03C17460E734440
1,2174,50,1021740050,C4-4,R7A,,,,,IN,,,,,,3A,,1931.38874293864,,1021740050,R7A,C4-4,,,,,IN,,,,3A,,0106000020E61000000100000001030000000100000007000000E17AF49A3A7B52C0F2A0C749636E4440CFA49F19407B52C080F034315F6E44403CFDBD83457B52C031F0F0275B6E4440385F8024487B52C00B073C58636E444069EA5BBA427B52C05ADD8461676E4440E03176393D7B52C0032DC37B6B6E4440E17AF49A3A7B52C0F2A0C749636E4440
2,4724,36,2047240036,R5,C8-1,,,,,,,,,,,2B,,262.976225314662,,2047240036,C8-1,R5,,,,,,,,,2B,,0106000020E610000001000000010300000001000000070000009B995D2C1A7652C083872B5262704440F6033B8F197652C0A695FD37607044400C763D411C7652C0338F796E5E704440E76DD9DC1E7652C01BA181B35C704440C047E08E1F7652C026AE9B155F704440670C5B411A7652C094490E9A627044409B995D2C1A7652C083872B5262704440
4,12216,11,4122160011,R3X,,,,C1-3,,,,,,,,18C,,375.468837980181,,4122160011,R3X,R5D,,,C1-3,,,,,,18C,,0106000020E6100000010000000103000000010000000A0000006C240829967252C098C8D642B35644402EC9A1D6937252C0FD77AE03B45644403875D19B927252C037F05129AB564440128044EF937252C0F3EC93BCAA56444024D888EE947252C03570CC6AAA5644408FB7782B957252C0F6727D21AC564440E891196F957252C0F2295708AE564440650E30AA957252C09633B1B1AF5644404F8927E7957252C0914E9A68B15644406C240829967252C098C8D642B3564440
1,1121,37,1011210037,R8B,R10A,,,,,,,,,,,8C,,346.873184487224,,1011210037,R10A,R8B,,,,,,,,,8C,,0106000020E610000001000000010300000001000000090000004DCABC15967E52C07F04919B206344403B61E541967E52C09F51D52220634440EC93EA0C967E52C019242FF61F634440B3CD078A967E52C038001BA01E634440A678F928977E52C030A309261F6344404A5FB886997E52C0253CC8AD1863444070A9A23C9B7E52C0C017C91E1A6344402DFD9C35987E52C02EA6DC65226344404DCABC15967E52C07F04919B20634440
4,9109,17,4091090017,R6B,R4-1,,,C2-3,,,,,,,,18A,,265.688373856246,,4091090017,R4-1,R6B,,,C2-3,,,,,,18A,,0106000020E6100000010000000103000000010000000600000005A9EE25577652C0880B36FA165744404B2D6ABF5C7652C07B6C76B813574440A6E88E265D7652C093F44D6015574440236E7F535D7652C031F8F31816574440004D02BA577652C08BCFB35A1957444005A9EE25577652C0880B36FA16574440
1,1121,61,1011210061,R8B,C1-8A,,,,,,,,,,,8C,,187.23295070976,,1011210061,R8B,,,,,,,,,,8C,,0106000020E610000001000000010300000001000000060000000AF6A999B37E52C05EFD607A3963444046ECAAA0B67E52C0DFBB47333163444052358053B77E52C04EF5F7C9316344404F9E269EB77E52C0E5D0DB0832634440ADD32597B47E52C02047F54F3A6344400AF6A999B37E52C05EFD607A39634440
1,203,20,1002030020,C6-1G,C6-2G,,,,,LI,,,,,,12C,,273.122022986412,,1002030020,C6-1G,,,,,,LI,,,,12C,,0106000020E61000000100000001030000000100000006000000777568EEC07F52C0CB80F4BCCB5B444069BFA546C07F52C00A5225CFCD5B4440C39AAAC4BF7F52C02E495373CD5B44408D2CDB1BBA7F52C0978BEA73C95B444078E99CC3BA7F52C09601BA61C75B4440777568EEC07F52C0CB80F4BCCB5B4440
2,4733,44,2047330044,R5,C4-2,,,,,,,,,,,2B,,223.608224195428,,2047330044,C4-2,R5,,,,,,,,,2B,,0106000020E610000001000000010300000001000000060000008B9594247D7652C079D3E7C0DD6F4440DA7FBEE17C7652C047333DC9DC6F444070E70457827652C020609C65D96F4440631C0AE2827652C0A810CB68DB6F44407CB4C46C7D7652C09D186CCCDE6F44408B9594247D7652C079D3E7C0DD6F4440
2,5439,41,2054390041,R3A,,,,,,,,,,,,7C,,211.975171864033,,2054390041,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000050000003B76AF26697452C06D9478B96B694440A9C7FEB8687452C0945681A26969444078ADC3FB6D7452C0CC81C104676944402DAB04716E7452C0E5E4F317696944403B76AF26697452C06D9478B96B694440
4,3881,23,4038810023,R4A,,,,,,,,,,,,14B,,401.267482876778,,4038810023,R4A,R5,,,,,,,,,14B,,0106000020E61000000100000001030000000100000009000000F8C923C6AE7652C0A7507DFD2D5A44405629F0BBAE7652C0D97D34FB2D5A444007B84609AD7652C08E2C27BB295A4440AA6F40E8B17652C01D6F8D4C265A4440A3368ACEB17652C0F1CA7940275A44407788A188B17652C00680A6D7295A444015050D49B17652C0425CC7322C5A444031E9F10AB17652C0745FF57F2E5A4440F8C923C6AE7652C0A7507DFD2D5A4440
4,10314,42,4103140042,R3-2,,,,C2-2,,,,,,,,19A,,359.10964730382,,4103140042,R3-2,R2,,,C2-2,,,,,,19A,,0106000020E61000000100000001030000000100000005000000CD9E3F901A7152C0030FF22FAA58444083A715491F7152C010E161EEA4584440576346A6207152C02453C5C2A7584440BCB168EC1B7152C0D0C27C05AD584440CD9E3F901A7152C0030FF22FAA584440
2,5439,44,2054390044,R3A,,,,,,,,,,,,7C,,439.02034175396,,2054390044,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000D2F1D6DA677452C0609B1867656944400F797CF2667452C064F90DFD6069444004F58A166C7452C0F168956E5E6944401C1B4C0E6D7452C06BACF5D062694440D2F1D6DA677452C0609B186765694440
2,5439,50,2054390050,R3A,,,,,,,,,,,,7C,,127.02469121106,,2054390050,R3A,,,,C1-2,,,,,,7C,,0106000020E6100000010000000103000000010000000500000065CF19BD647452C0D27B9934566944408F49DF41687452C0C4BEA27454694440D0277D78677452C02D045F5D57694440C7F00A35657452C0D68E877D5869444065CF19BD647452C0D27B993456694440
2,2605,35,2026050035,M3-1,PARK,,,,,,,,,,,6D,,22440.9154079258,,2026050035,PARK,M3-1,,,,,,,,,6D,,0106000020E61000000100000001030000000100000052000000B289DF927F7952C02FD83F79F36544400552FA22817952C07188C539F46544404E692E75827952C064E73256F56544409CD897EA837952C02EB8F8B2F6654440FD658A10857952C03AEA920FF8654440E709A7DE857952C0F8639667F9654440FE0EBAAF867952C013DB1063FB6544404A78B304877952C0635C32C1FC6544408DDED931877952C0E2B5EC04FE654440F37A812F877952C0F8AD8C1DFF65444038747627877952C037767B7A00664440A00D1405877952C09349F9F101664440297310CC867952C01DB0071603664440DE267280867952C042A4D8CC03664440924B7939867952C095461F4304664440FB5BD710867952C0CB24127B0466444011D3E5BD857952C0C76C5CD504664440320B7349857952C0789DD638056644404066E04D847952C0ED2377EA056644402747F8E3827952C0AB5250FD066644402E52B4F2817952C07310FDAE07664440235445BA807952C0CF814684086644408586CD117F7952C0576674160A664440B85335C47D7952C03568D1BF0B664440D3C15EC27C7952C07659CF5D0D6644405FBE9E047C7952C02A2601580F66444072AD3E0A7B7952C077EA258011664440880F13457A7952C06A00A3B61266444008BB8E87797952C017738585136644405C372BA4787952C01BB356541466444033578847777952C0A5AB0368156644404AE2BA01767952C0F95E95F115664440A7E9E0E1747952C007119C1316664440C7EC8B24747952C03EB0BCF0156644401CBD3D67737952C088E853AB15664440922AD5E96F7952C01F52BBD113664440DD0F41666D7952C0ED81C39912664440DB97A6B66B7952C0BDA44FEC11664440659DA375687952C0A184171011664440A49F0665677952C0A6F102BF1066444038AE7589667952C0AF14814B1066444066DD30CC657952C0C81D0BD80F66444041F07468647952C0C5778B890E664440CC295533637952C017FEB7930C66444085D6486B617952C0B0F0E80B09664440C3005807607952C083184B970566444041D297775E7952C0549BC8F000664440911A15CC5D7952C0630E85EDFD6544406B7092885D7952C03EBCCEF9FA654440C965BD895D7952C090A2EA6EF8654440604D75D65D7952C074315C54F665444096BEEEA75E7952C0A8E90190F26544407B99B76A5F7952C0CFDA7AE8EF6544408E6A69CC5F7952C023EE966FED654440928C2519607952C07A83D077EC65444086AFECAB607952C0664FE92AEB654440AF9A8C3A617952C04016C44EEA654440D767F7ED617952C0FC26439FE9654440AEABF69F627952C0C5B9B63AE9654440DAF80E1F637952C068E46229E9654440FAAC01AE637952C00F8E2A46E96544400392427F647952C01588A9A7E9654440D82C2F20657952C050C62F0BEA654440D47D6FAA657952C02570FC8EEA654440233F6119667952C0D933030FEB654440957C7F93667952C0598CBA73EB65444097726D37677952C0141241C6EB654440249357E4677952C0AC4E91F9EB654440CBB4DCD7687952C06D1D5103EC65444013DF0AE1697952C07A249AD1EB65444058DE6CA16A7952C0C187B8A9EB654440FD741C4B6C7952C081A4CB5CEB654440D7CF54C16D7952C0FE5E3B4CEB654440D700CCE5707952C0775BC56CEB654440A32772EE717952C076B09CDBEB65444015B7D608737952C059CAA6B0EC654440AF850F74747952C06EF77AE3ED654440FA32A6BA757952C0372231E9EE654440B2A4C23F777952C0DF5D4ADBEF654440B3C80A3B797952C0DAEDF1CDF0654440EEB85A8A7C7952C0AD7919E1F1654440B289DF927F7952C02FD83F79F3654440
4,12406,328,4124060328,R3-2,,,,,,,,,,,,19A,,11926.5483473428,,4124060328,R3-2,,,,C2-2,,,,,,19A,,0106000020E6100000010000000103000000010000001D000000D4504A5DEF7052C0BEEE221558584440B434A311ED7052C0E3DF8AFF4E584440104F12F2EA7052C0743E6C98465844404E5616C3EA7052C09E9C7DDE4558444066200FA2F07052C0E79777653D5844408168EC4E017152C0384B94627F584440E2F647C3077152C0EEA9504B9558444031C4E119087152C0468D437196584440FC0BA7B8047152C02F29867B95584440E8180C62047152C0281F955594584440A9EBB668007152C05745A1349358444005DAFBA0FD7052C097AC14708D5844406F65699DFC7052C0359D92558B5844407973933CFC7052C0F675AD8C8A5844409031DC35FB7052C05B1CA36B88584440BE456C63F97052C047EFF5A384584440B7BAEFF4F77052C0FAE9B0F97E5844401FD4D0F8F67052C0ADC801147B584440442CB53CF67052C035AD992B785844405A3B4933F77052C0EA687A177758444094C9B2F4F67052C0A2CCCD1F76584440B4C09796F67052C0087B65AB7458444026E6AEA1F57052C0A33E3CE270584440D4EE69C7F47052C0D1967C826D5844405328A05EF47052C04ED9CEE36B5844408A094A2CF37052C048F78B276758444093133F03F37052C0DB1D1C85665844407758148CF07052C0010763C35C584440D4504A5DEF7052C0BEEE221558584440
1,1122,160,1011220160,C1-8A,,,,,,,,,,,,8C,,174.952558431774,,1011220160,R8B,C1-8A,,,,,,,,,8C,,0106000020E61000000100000001030000000100000005000000ADB820CFAC7E52C0B0E193834E63444031121DCDAF7E52C092BDA55946634440028505BDB07E52C081E34824476344402F5409BFAD7E52C0E649354E4F634440ADB820CFAC7E52C0B0E193834E634440
4,13516,61,4135160061,R3-1,,,,,,,,,,,,19B,,176.688513785601,,4135160061,R3-1,R4B,,,,,,,,,19B,,0106000020E61000000100000001030000000100000005000000D9E1976EB16F52C0E993B19F01554440F04B28EAB16F52C04F259313005544408245314CB76F52C07A33FDF4035544402C1626D3B66F52C09BBB587905554440D9E1976EB16F52C0E993B19F01554440
4,12516,57,4125160057,R5D,R3A,,,C2-3,,,,,,,,19A,,6216.14756381419,,4125160057,R5D,,,,C2-3,,,,,,19A,,0106000020E6100000010000000103000000010000000F0000005845A45C397152C080794C6060574440CE565314477152C073C962766F574440AC12012A457152C0D5900583755744400E34F549407152C0CA1273267057444001BFD7FA3F7152C0812171CF6F574440E186B16D3F7152C070C3A4F070574440104013C63B7152C0AD85AF6D785744400B6F53A1287152C0F1AA475E63574440445EA6D0287152C0B5A797FC6257444089EC26DE2D7152C01BB4F6D361574440410F67982F7152C01C198A6E61574440EA33262F317152C0C329421161574440802CB182347152C009B4F64D60574440D183BC31397152C07AA3F93A5F5744405845A45C397152C080794C6060574440
1,468,35,1004680035,R7A,,,,C1-5,,TA,,,,,,12C,,264.319520145655,,1004680035,R7A,R8B,,,C1-5,,TA,,,,12C,,0106000020E610000001000000010300000001000000050000006DA5F3BB157F52C05046FCD6A45D4440B420367A167F52C0D43CEDCDA25D4440EFD33C281C7F52C034B2509AA75D44407BDBFB691B7F52C0280660A3A95D44406DA5F3BB157F52C05046FCD6A45D4440
1,772,5,1007720005,C1-6A,,,,,,,,,,,,8D,,153.487704684958,,1007720005,C1-6A,C2-7A,,,,,,,,,8D,,0106000020E6100000010000000103000000010000000600000007D5671AE57F52C008DDEDCA525F44407D793DF2E57F52C0238EFC80535F4440D0DAC291E97F52C05021558F565F4440402D3004E97F52C0776F7210585F4440A1ED5F8FE47F52C072D5514D545F444007D5671AE57F52C008DDEDCA525F4440
2,5439,33,2054390033,R3A,,,,,,,,,,,,7C,,308.030904147774,,2054390033,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000AD9EDBCF6B7452C0E4CF71B378694440DF1B2949717452C0F4C091FA756944402F90C3EC717452C0B6D8B0DF786944408A21E8686C7452C0F976CE9D7B694440AD9EDBCF6B7452C0E4CF71B378694440
4,12678,80,4126780080,R2,R3A,,,,,,,,,,,19A,,291.999438945204,,4126780080,R2,,,,,,,,,,19A,,0106000020E6100000010000000103000000010000000500000061162748367052C007295528EC574440E92EC7573B7052C0E79AF270E8574440F80891103C7052C08DD472BFEA5744403442443D377052C007B3A137EF57444061162748367052C007295528EC574440
4,12439,9,4124390009,R5D,,,,C1-3,,,,,,,,19A,,125.095006167889,,4124390009,R3-2,R5D,,,C1-3,,,,,,19A,,0106000020E610000001000000010300000001000000050000003DD945DCFB7052C0BD63E5E9915844406F65699DFC7052C0359D92558B58444005DAFBA0FD7052C097AC14708D584440080B7713FD7052C097324942925844403DD945DCFB7052C0BD63E5E991584440
3,4020,19,3040200019,R7A,,,,C2-4,,EC-5,,,,t,Option 1 and Deep Affordability Option,17C,,178.183426710777,,3040200019,R7A,R5,,,C2-4,,EC-5,,,,17C,,0106000020E610000001000000010300000001000000050000009C96F7395F7852C0E3C231C83C5644407398730E657852C0AF3A03143B564440AE60A544657852C0D12299C33C5644409E4062705F7852C07F88B4773E5644409C96F7395F7852C0E3C231C83C564440
4,10315,90,4103150090,R2,R3-2,,,,,,,,,,,19A,,367.838220059872,,4103150090,R2,,,,,,,,,,19A,,0106000020E61000000100000001030000000100000005000000F4D48EE8147152C0F363B79AA7584440DEDD4602177152C0A5171810AC5844402F0E2ED4137152C0E8359199AF5844406CAD55E5117152C04DA581F4AA584440F4D48EE8147152C0F363B79AA7584440
1,1143,32,1011430032,C1-8A,,,,,,,,,,,,8C,,181.070009835064,,1011430032,C1-8A,C4-6A,,,,,,,,,8C,,0106000020E6100000010000000103000000010000000B0000000420F9FEAD7E52C0EEC295947A634440D4E8B252AB7E52C00C6BAB5378634440495E081FAC7E52C0E682C21E76634440F2EB0B41AD7E52C07FB04713776344408D109C24AE7E52C0BD3D24D377634440C7450926AE7E52C0DBFA13CF7763444049B811E6AE7E52C0F585FD7078634440ABC8CFE4AE7E52C0067E67747863444068531DB5AF7E52C0686B062479634440517B65EDAE7E52C0D3F99C5D7B6344400420F9FEAD7E52C0EEC295947A634440
4,10299,34,4102990034,R3A,R2,,,,,,,,,,,15B,,535.024376623333,,4102990034,R2,R3A,,,,,,,,,15B,,0106000020E610000001000000010300000001000000080000004913F861967152C0B6C79AE10D594440B5ECE0279B7152C06EA8308608594440D3A452F39C7152C0B4DACB450C594440375ABFAA9B7152C0291D1B140E5944402436108D997152C0E6E43B0E115944401B7D55ED987152C0EA50F8EE11594440615F55C1987152C0130E28D6125944404913F861967152C0B6C79AE10D594440
2,2842,1,2028420001,R8A,,,,C2-4,,J,,,,t,Option 1 and Deep Affordability Option,3B,,1655.21534836292,,2028420001,R8A,R8,,,C2-4,,J,,,,3B,,0106000020E61000000100000001030000000100000009000000A0734D6EB97A52C083CF0FBA736B44408B005DA7BF7A52C07326428F786B444098DDC5CBBB7A52C00EFA79EC826B4440BF140FD6B57A52C0FEAB313F7E6B444044968115B47A52C08272217E836B4440055C85C5B27A52C020987676826B44407D7F438AB57A52C04B048B2C7A6B4440517D6CEBB67A52C0382AD13E7B6B4440A0734D6EB97A52C083CF0FBA736B4440
4,9108,14,4091080014,R6B,,,,C2-3,,,,,,,,18A,,188.429257676005,,4091080014,R6B,R4-1,,,C2-3,,,,,,18A,,0106000020E610000001000000010300000001000000060000006DCAD94B667652C000896A1B14574440036C7858687652C073E746EA12574440FF6C91B96B7652C0CEFE17F31057444075C3AF256C7652C012D922B012574440FCA30EB8667652C00D5DD4D8155744406DCAD94B667652C000896A1B14574440
