field,count,percent
zoningdistrict1,627,0.04
commercialoverlay1,165,0.01
zoningmapnumber,123,0.01
specialdistrict1,94,0.01
zoningdistrict2,86,0.01
limitedheightdistrict,0,0.00
specialdistrict3,0,0.00
commercialoverlay2,3,0.00
specialdistrict2,2,0.00
zoningmapcode,0,0.00
zoningdistrict4,1,0.00
zoningdistrict3,0,0.00
