bbl,zoningdistrict1edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
3045850222,R3-2,PARK,,,,1
5074540001,R3-2,PARK,,,,1
4080740051,R1-2,PARK,,,,1
1013530001,PLAYGROUND,PARK,,,,1
2055240119,C3A,PARK,,,,1
1017890014,C4-4D,PARK,,,,1
5018650038,M2-1,PARK,,,,1
2025500031,R6,PARK,,,,1
1017890015,C4-4D,PARK,,,,1
4000320042,PLAYGROUND,PARK,,,,1
4139230114,R3-2,PARK,,,,1
4138660025,M1-1,PARK,,,,1
2034300200,R3A,PARK,,,,1
3082730300,R5,PARK,,,,1
2028680005,R7-1,PARK,,,,1
4139330064,R4,PARK,,,,1
2034290150,R3A,PARK,,,,1
4155740080,R5,PARK,,,,1
3085910100,C3,PARK,,,,1
5048030026,R3X,PARK,,,,1
2027200020,R7-1,PARK,,,,1
4039880101,R3-2,PARK,,,,1
5053130059,R3-1,PARK,,,,1
1018110132,R7-2,PARK,,,,1
5047870045,R3X,PARK,,,,1
1004420001,R8B,PARK,,,,1
5001850049,M3-1,PARK,,,,1
4039930020,R3-2,PARK,,,,1
2055210192,C3A,PARK,,,,1
4044220108,R1-2,PARK,,,,1
3082730077,R5,PARK,,,,1
4081600130,R3-1,PARK,,,,1
4005080027,PUBLIC PLACE,PARK,,,,1
3020050075,R7-2,PARK,,,,1
5047880200,R3X,PARK,,,,1
3021670001,R7X,PARK,,,,1
3082350018,R5,PARK,,,,1
4081930100,R1-2,PARK,,,,1
1017360015,PLAYGROUND,PARK,,,,1
4113820053,R4,PARK,,,,1
2057530151,R1-1,PARK,,,,1
4039070990,R5,PARK,,,,1
1008260042,C5-2,PARK,,,,1
2033430400,PLAYGROUND,PARK,,,,1
3085910075,M1-1,PARK,,,,1
4139240233,R3-2,PARK,,,,1
2033990044,R6,PARK,,,,1
2056330045,R3A,PARK,,,,1
4007630024,PLAYGROUND,PARK,,,,1
3045850171,R3-2,PARK,,,,1
3020050010,R7-2,PARK,,,,1
4039890001,R3-2,PARK,,,,1
5053080013,R3-1,PARK,,,,1
2022800051,R6,PARK,,,,1
2025410022,R7-1,PARK,,,,1
4138640076,R3-2,PARK,,,,1
1019830021,R7-2,PARK,,,,1
4080990200,R1-2,PARK,,,,1
2038350100,M3-1,PARK,,,,1
1017410001,PLAYGROUND,PARK,,,,1
5047880011,R3X,PARK,,,,1
5080050001,R3X,PARK,,,,1
2025330111,R7-1,PARK,,,,1
4160560035,R4-1,PARK,,,,1
4139310020,R3-2,PARK,,,,1
4139250290,R3-2,PARK,,,,1
1015870001,M1-4,PARK,,,,1
2044110134,R3-2,PARK,,,,1
3031430017,M3-1,PARK,,,,1
3020050006,R7-2,PARK,,,,1
5017170225,M2-1,PARK,,,,1
5041600327,R3X,PARK,,,,1
3045850236,R3-2,PARK,,,,1
3045850243,R3-2,PARK,,,,1
5023590400,C8-1,PARK,,,,1
5073700022,R3-2,PARK,,,,1
2054140300,R3-1,PARK,,,,1
4034150015,PLAYGROUND,PARK,,,,1
5041600321,R3X,PARK,,,,1
3058260051,R4-1,PARK,,,,1
5041600318,R3X,PARK,,,,1
4160190026,R4-1,PARK,,,,1
4138420028,R3-2,PARK,,,,1
4160560033,R4-1,PARK,,,,1
5053150110,R3-1,PARK,,,,1
2055210130,C3A,PARK,,,,1
4039880060,R3-2,PARK,,,,1
1015360025,C2-8,PARK,,,,1
2034290002,R3A,PARK,,,,1
1002450028,PLAYGROUND,PARK,,,,1
1017710050,R7D,PARK,,,,1
4081620276,R1-2,PARK,,,,1
4022810075,C4-4A,PARK,,,,1
5048030025,R3X,PARK,,,,1
5017170001,M2-1,PARK,,,,1
2028660060,R7-1,PARK,,,,1
4139250240,R3-2,PARK,,,,1
5017170040,M2-1,PARK,,,,1
4160000200,R4-1,PARK,,,,1
1001580017,C6-4,PARK,,,,1
4005180035,R6B,PARK,,,,1
4114550047,R4,PARK,,,,1
1017710048,R7-2,PARK,,,,1
4114550016,R4,PARK,,,,1
2030770007,PLAYGROUND,PARK,,,,1
4114560036,R4,PARK,,,,1
1011710013,R10,PARK,,,,1
4139250293,R3-2,PARK,,,,1
2033600250,R6,PARK,,,,1
4005010112,R6,PARK,,,,1
4160570001,R4-1,PARK,,,,1
1018110127,M1-1,PARK,,,,1
2059150270,R1-1,PARK,,,,1
4118480001,R3-2,PARK,,,,1
4028050031,M3-1,PARK,,,,1
5048030022,R3X,PARK,,,,1
4003130101,R5,PARK,,,,1
3031430011,M3-1,PARK,,,,1
2034520023,R3A,PARK,,,,1
4160570038,R4-1,PARK,,,,1
4159500001,C4-4,PARK,,,,1
5041600001,R3X,PARK,,,,1
3058180004,R7A,PARK,,,,1
4114550011,R4,PARK,,,,1
4005080008,PUBLIC PLACE,PARK,,,,1
5053190167,R3-1,PARK,,,,1
3003410053,M1-1,PARK,,,,1
3064620100,PLAYGROUND,PARK,,,,1
5053190154,R3-1,PARK,,,,1
4022090095,R3-2,PARK,,,,1
