bbl,zoningdistrict1edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
4039890020,R3-2,PARK,,,,1
4114550031,R4,PARK,,,,1
4139340060,R4,PARK,,,,1
1001420030,C6-4,PARK,,,,1
2027460025,R7-1,PARK,,,,1
4139230125,R3-2,PARK,,,,1
2029170050,M1-4/R7A,PARK,,,,1
4139230107,R3-2,PARK,,,,1
3033240040,R7-2,PARK,,,,1
3082350190,R5,PARK,,,,1
1003310095,PLAYGROUND,PARK,,,,1
3033160019,R6,PARK,,,,1
4139320089,R3-2,PARK,,,,1
5053200109,R3-1,PARK,,,,1
4156030100,R4A,PARK,,,,1
4160570051,R4-1,PARK,,,,1
4139250255,R3-2,PARK,,,,1
4156030125,R4A,PARK,,,,1
4139330060,R4,PARK,,,,1
1020070052,R7-2,PARK,,,,1
4138440023,R3-2,PARK,,,,1
4138660018,M1-1,PARK,,,,1
2028800250,R7-1,PARK,,,,1
4039930001,R3-2,PARK,,,,1
4039890025,R3-2,PARK,,,,1
4005010016,R6,PARK,,,,1
4114550037,R4,PARK,,,,1
5077730089,R3X,PARK,,,,1
3045730005,R4,PARK,,,,1
2030630100,R7-1,PARK,,,,1
2026080058,R6,PARK,,,,1
2034400010,R3A,PARK,,,,1
4138450061,R3-2,PARK,,,,1
2030020033,R7-1,PARK,,,,1
2028800001,R7-1,PARK,,,,1
4039880083,R3-2,PARK,,,,1
3031470001,M3-1,PARK,,,,1
4160590001,R4-1,PARK,,,,1
3085900900,R4,PARK,,,,1
5080050118,R1-2,PARK,,,,1
3083290235,R5,PARK,,,,1
2026520001,R6,PARK,,,,1
1002500043,PLAYGROUND,PARK,,,,1
3031430050,M3-1,PARK,,,,1
3024720075,R6,PARK,,,,1
4138460031,R3-2,PARK,,,,1
4156020008,R3X,PARK,,,,1
2031690026,R8,PARK,,,,1
5018150625,M3-1,PARK,,,,1
3082730050,R4-1,PARK,,,,1
5001850045,M3-1,PARK,,,,1
2022850042,R6,PARK,,,,1
2026080054,R6,PARK,,,,1
5017600090,M3-1,PARK,,,,1
4138640041,R3-2,PARK,,,,1
4160540001,R4-1,PARK,,,,1
2032130048,R6,PARK,,,,1
2051410440,R6,PARK,,,,1
3033160032,R6,PARK,,,,1
2028790257,R5,PARK,,,,1
3082730026,R4-1,PARK,,,,1
2032100001,R7-1,PARK,,,,1
1002540001,PLAYGROUND,PARK,,,,1
2027630001,R6,PARK,,,,1
4156040150,R4A,PARK,,,,1
2059370440,R1-1,PARK,,,,1
5017170049,M2-1,PARK,,,,1
4139270050,R3-2,PARK,,,,1
2042260150,PLAYGROUND,PARK,,,,1
5077730105,R3X,PARK,,,,1
3045850247,R3-2,PARK,,,,1
3020050071,R7-2,PARK,,,,1
5078570060,R3A,PARK,,,,1
4042770001,M2-1,PARK,,,,1
4114560040,R4,PARK,,,,1
4160560027,R4-1,PARK,,,,1
4004990051,R6,PARK,,,,1
3003410062,M1-1,PARK,,,,1
4139280005,R3-2,PARK,,,,1
2034780095,R3-2,PARK,,,,1
3009810050,R6B,PARK,,,,1
1017280033,PLAYGROUND,PARK,,,,1
4088920105,R3A,PARK,,,,1
2022800032,R6,PARK,,,,1
5041600029,R3X,PARK,,,,1
5077220050,R3X,PARK,,,,1
4114560066,R4,PARK,,,,1
4017870001,R3-2,PARK,,,,1
3020050003,R7-2,PARK,,,,1
4039900075,R3-2,PARK,,,,1
2032120001,R7-1,PARK,,,,1
2028300062,R7-1,PARK,,,,1
3058060001,R4-1,PARK,,,,1
3045850224,R3-2,PARK,,,,1
5079660075,R1-2,PARK,,,,1
2025500033,R6,PARK,,,,1
4138480027,R3-2,PARK,,,,1
4114560050,R4,PARK,,,,1
3033160022,R6,PARK,,,,1
4005010160,R6,PARK,,,,1
2027200017,R7-1,PARK,,,,1
4042350001,M2-1,PARK,,,,1
5041600334,R3X,PARK,,,,1
4160560042,R4-1,PARK,,,,1
4139240250,R3-2,PARK,,,,1
5053140007,R3-1,PARK,,,,1
4139270001,R3-2,PARK,,,,1
2032690070,R6,PARK,,,,1
2022850051,R6,PARK,,,,1
1021500001,C3,PARK,,,,1
5080030077,R3A,PARK,,,,1
3031430020,M3-1,PARK,,,,1
2028530050,R8,PARK,,,,1
1021010115,M1-1,PARK,,,,1
4138660063,R3-2,PARK,,,,1
3004190001,PLAYGROUND,PARK,,,,1
4138440037,R3-2,PARK,,,,1
5017170059,M2-1,PARK,,,,1
2025220117,R7-1,PARK,,,,1
1011620057,R8B,PARK,,,,1
2025230160,R7-1,PARK,,,,1
4138440021,R3-2,PARK,,,,1
3020050013,R7-2,PARK,,,,1
4160100001,R4-1,PARK,,,,1
5053140049,R3-1,PARK,,,,1
3001990100,M2-1,PARK,,,,1
2034780080,R3-2,PARK,,,,1
4156030376,R4A,PARK,,,,1
2027460027,R7-1,PARK,,,,1
2027430045,R7-1,PARK,,,,1
5027760092,M1-1,PARK,,,,1
1013720010,R10,PARK,,,,1
3082730377,R5,PARK,,,,1
2027900022,R8,PARK,,,,1
4159540025,R4,PARK,,,,1
4115880080,R3-2,PARK,,,,1
5041600059,R3X,PARK,,,,1
4156880091,R2,PARK,,,,1
5077440115,R3X,PARK,,,,1
2025410123,M1-1,PARK,,,,1
3031470029,M3-1,PARK,,,,1
4160560040,R4-1,PARK,,,,1
4077480300,R5,PARK,,,,1
2053800045,M1-1,PARK,,,,1
4156880073,R2,PARK,,,,1
4139230101,R3-2,PARK,,,,1
2026080043,M1-1/R7-2,PARK,,,,1
5018250125,M3-1,PARK,,,,1
4081140103,R1-2,PARK,,,,1
4039910001,R3-2,PARK,,,,1
4139310034,R3-2,PARK,,,,1
1005260001,R7-2,PARK,,,,1
1020660001,PLAYGROUND,PARK,,,,1
2030310009,R7-1,PARK,,,,1
2031100032,R7-1,PARK,,,,1
4028190252,R4,PARK,,,,1
4114240001,R4,PARK,,,,1
3033650111,R6,PARK,,,,1
3045850127,R3-2,PARK,,,,1
2030380073,R6A,PARK,,,,1
4005080029,PUBLIC PLACE,PARK,,,,1
2045070023,PLAYGROUND,PARK,,,,1
5027670009,R3A,PARK,,,,1
3082730132,R5,PARK,,,,1
4118740048,R3-2,PARK,,,,1
2034510001,R3A,PARK,,,,1
4114560035,R4,PARK,,,,1
5017170084,M2-1,PARK,,,,1
5027760150,M1-1,PARK,,,,1
4139250299,R3-2,PARK,,,,1
5077570008,R3X,PARK,,,,1
4113890001,R4,PARK,,,,1
5053170106,R3-1,PARK,,,,1
4077610053,R2A,PARK,,,,1
4139250294,R3-2,PARK,,,,1
4156860064,R2,PARK,,,,1
4039920038,R3-2,PARK,,,,1
4118350001,R3X,PARK,,,,1
5080050119,R1-2,PARK,,,,1
2025190027,R7-1,PARK,,,,1
5053080035,R3-1,PARK,,,,1
2050640020,R6,PARK,,,,1
5017800069,M3-1,PARK,,,,1
1021340400,R8,PARK,,,,1
4138460100,R3-2,PARK,,,,1
3001730005,C6-1,PARK,,,,1
2034290007,R3A,PARK,,,,1
2028160032,R7-1,PARK,,,,1
5054090132,R1-2,PARK,,,,1
4138100006,R3-2,PARK,,,,1
4139250245,R3-2,PARK,,,,1
4139340096,R4,PARK,,,,1
4073170027,R3-1,PARK,,,,1
5041600328,R3X,PARK,,,,1
4039940001,R3-2,PARK,,,,1
3033160018,R6,PARK,,,,1
3082350270,R5,PARK,,,,1
5044630001,R3-2,PARK,,,,1
2030380075,R6A,PARK,,,,1
4139320070,R3-2,PARK,,,,1
5000680060,R3-2,PARK,,,,1
2049390055,R4,PARK,,,,1
3082350189,R5,PARK,,,,1
2033590100,R6,PARK,,,,1
4160590050,R4-1,PARK,,,,1
5053130001,R3-1,PARK,,,,1
3082350243,R5,PARK,,,,1
4160560049,R4-1,PARK,,,,1
5018150425,M3-1,PARK,,,,1
4138450100,R3-2,PARK,,,,1
2031100027,R7-1,PARK,,,,1
3082730250,R5,PARK,,,,1
4138640070,R3-2,PARK,,,,1
4113610065,R4,PARK,,,,1
5053090001,R3-1,PARK,,,,1
5034270200,R3X,PARK,,,,1
5053080036,R3-1,PARK,,,,1
3006250001,M2-1,PARK,,,,1
5041600041,R3X,PARK,,,,1
4044220138,R1-2,PARK,,,,1
1017710024,R7-2,PARK,,,,1
3082350020,R5,PARK,,,,1
3020050009,R7-2,PARK,,,,1
4084010150,R3-2,PARK,,,,1
5048030017,R3X,PARK,,,,1
2027710099,M3-1,PARK,,,,1
4080740040,R1-2,PARK,,,,1
2027200013,R7-1,PARK,,,,1
3003830001,R6A,PARK,,,,1
2030630001,R7-1,PARK,,,,1
5048030104,R3X,PARK,,,,1
4160210010,R4-1,PARK,,,,1
4081620438,R3-1,PARK,,,,1
5017900100,M2-1,PARK,,,,1
4159520025,R4,PARK,,,,1
5018010170,M3-1,PARK,,,,1
4062700033,R2A,PARK,,,,1
4160560020,R4-1,PARK,,,,1
1006270025,PLAYGROUND,PARK,,,,1
2029980156,C4-2,PARK,,,,1
3045840001,R3-2,PARK,,,,1
3082350265,R5,PARK,,,,1
2031690020,R8,PARK,,,,1
2037690001,M1-1,PARK,,,,1
3045720001,R4,PARK,,,,1
2055210068,C3A,PARK,,,,1
4081620437,R2A,PARK,,,,1
4023640031,R4,PARK,,,,1
4123190001,R3-2,PARK,,,,1
1017570169,PLAYGROUND,PARK,,,,1
2032460001,R6,PARK,,,,1
4138460036,R3-2,PARK,,,,1
3018960030,PLAYGROUND,PARK,,,,1
5053140001,R3-1,PARK,,,,1
2034520003,R3A,PARK,,,,1
3045850035,R3-2,PARK,,,,1
5018250150,M3-1,PARK,,,,1
4138450059,R3-2,PARK,,,,1
3031430022,M3-1,PARK,,,,1
5001850043,M3-1,PARK,,,,1
4004650400,M1-4,PARK,,,,1
2034810051,C3,PARK,,,,1
4094370060,R5,PARK,,,,1
4019390021,R6,PARK,,,,1
3045850235,R3-2,PARK,,,,1
3051100067,R6,PARK,,,,1
2031410017,R7-1,PARK,,,,1
2025220115,R7-1,PARK,,,,1
5041600325,R3X,PARK,,,,1
3082730105,R5,PARK,,,,1
2025200019,R7-1,PARK,,,,1
4160570046,R4-1,PARK,,,,1
2028160018,R7-1,PARK,,,,1
5047870026,R3X,PARK,,,,1
4028850164,R6B,PARK,,,,1
3058250051,R4-1,PARK,,,,1
2030380072,R6A,PARK,,,,1
4138480038,R3-2,PARK,,,,1
5048030024,R3X,PARK,,,,1
4138440022,R3-2,PARK,,,,1
2028300072,R7-1,PARK,,,,1
2039290050,R6,PARK,,,,1
2027590001,M1-2,PARK,,,,1
2025500032,R6,PARK,,,,1
5035000060,R3X,PARK,,,,1
3030250070,PLAYGROUND,PARK,,,,1
2031510001,PLAYGROUND,PARK,,,,1
2027270036,R7-1,PARK,,,,1
4058630253,R5,PARK,,,,1
4156750085,R2,PARK,,,,1
4073040042,R3-1,PARK,,,,1
2033250025,R7D,PARK,,,,1
4138450069,R3-2,PARK,,,,1
3045850228,R3-2,PARK,,,,1
1018110060,R7-2,PARK,,,,1
2027590187,M1-1,PARK,,,,1
5041600070,R3X,PARK,,,,1
2028160041,R7-1,PARK,,,,1
4033122000,R3-2,PARK,,,,1
4077480301,R2A,PARK,,,,1
5053130006,R3-1,PARK,,,,1
1020160101,R7-2,PARK,,,,1
3005950052,M2-1,PARK,,,,1
2026700001,R6,PARK,,,,1
4042370001,M2-1,PARK,,,,1
5001850127,M3-1,PARK,,,,1
5073700001,R3-2,PARK,,,,1
3082350261,R5,PARK,,,,1
4160610012,R4-1,PARK,,,,1
2023540020,M1-2,PARK,,,,1
4041680018,PLAYGROUND,PARK,,,,1
2031100028,R7-1,PARK,,,,1
4160560015,R4-1,PARK,,,,1
4081600200,R3-1,PARK,,,,1
2026250019,R6,PARK,,,,1
2034810050,C3,PARK,,,,1
3070710100,R7D,PARK,,,,1
5048030112,R3X,PARK,,,,1
4138460001,R3-2,PARK,,,,1
5063720064,R1-2,PARK,,,,1
3085900800,M1-1,PARK,,,,1
1010340005,PLAYGROUND,PARK,,,,1
3045850069,R3-2,PARK,,,,1
5018150204,M3-1,PARK,,,,1
4139230166,R3-2,PARK,,,,1
3058320001,M2-1,PARK,,,,1
2027200019,R7-1,PARK,,,,1
5028300150,M3-1,PARK,,,,1
1001420003,C6-4,PARK,,,,1
4138440048,R3-2,PARK,,,,1
2033600001,R6,PARK,,,,1
4010340025,R4,PARK,,,,1
3031470021,M3-1,PARK,,,,1
3003410063,M1-1,PARK,,,,1
2031100033,R7-1,PARK,,,,1
3045730001,R4,PARK,,,,1
2028910025,R7-1,PARK,,,,1
4057750100,R3-2,PARK,,,,1
2034810070,C3,PARK,,,,1
3033160044,R6,PARK,,,,1
2056540004,R3-2,PARK,,,,1
2032100007,R7-1,PARK,,,,1
3045850001,R3-2,PARK,,,,1
3045850092,R3-2,PARK,,,,1
4114560048,R4,PARK,,,,1
3082350225,R5,PARK,,,,1
2034810013,C3,PARK,,,,1
2027430035,C4-4,PARK,,,,1
2027650246,R6,PARK,,,,1
2034520063,R3A,PARK,,,,1
2028160013,R7-1,PARK,,,,1
4098960008,PLAYGROUND,PARK,,,,1
4156900096,R2,PARK,,,,1
5053190105,R3-1,PARK,,,,1
5017800001,M3-1,PARK,,,,1
4139260011,R3-2,PARK,,,,1
4078400010,R3-2,PARK,,,,1
5064420026,R3X,PARK,,,,1
4022802000,R3-2,PARK,,,,1
5053090015,R3-1,PARK,,,,1
3058350030,M2-1,PARK,,,,1
4013580001,PLAYGROUND,PARK,,,,1
3045850173,R3-2,PARK,,,,1
4039920001,R3-2,PARK,,,,1
3003410061,M1-1,PARK,,,,1
4138440042,R3-2,PARK,,,,1
2028300057,R7-1,PARK,,,,1
4040490019,R4-1,PARK,,,,1
4114550080,R4,PARK,,,,1
2031100030,R7-1,PARK,,,,1
5041600045,R3-1,PARK,,,,1
3045850239,R3-2,PARK,,,,1
3082730117,R5,PARK,,,,1
3045720010,R4,PARK,,,,1
2031100001,R7-1,PARK,,,,1
5028300155,M3-1,PARK,,,,1
4080760001,R1-2,PARK,,,,1
2034300100,R3A,PARK,,,,1
1004280001,R7A,PARK,,,,1
2031940027,R7-1,PARK,,,,1
5053080033,R3-1,PARK,,,,1
4014290001,R4,PARK,,,,1
2055210170,C3A,PARK,,,,1
3021630001,R7X,PARK,,,,1
2027200022,R7-1,PARK,,,,1
5078260280,R1-2,PARK,,,,1
4138440019,R3-2,PARK,,,,1
4001830289,PLAYGROUND,PARK,,,,1
4138450068,R3-2,PARK,,,,1
4010550054,R4,PARK,,,,1
4039940021,R3-2,PARK,,,,1
3058300024,PLAYGROUND,PARK,,,,1
2056540001,R3-2,PARK,,,,1
5048030028,R3X,PARK,,,,1
1022500032,R7-2,PARK,,,,1
3022350024,PLAYGROUND,PARK,,,,1
4138170014,R3-2,PARK,,,,1
1005190049,R7-2,PARK,,,,1
5053160100,R3-1,PARK,,,,1
2026050020,C8-2,PARK,,,,1
4160540003,R4-1,PARK,,,,1
4139260025,R3-2,PARK,,,,1
4114080025,R4-1,PARK,,,,1
1002540020,R7-2,PARK,,,,1
1018110209,M1-1,PARK,,,,1
3020050015,R7-2,PARK,,,,1
3033160021,R6,PARK,,,,1
5018010135,M3-1,PARK,,,,1
2025390181,R7-1,PARK,,,,1
4159530025,R4,PARK,,,,1
2034810004,R3-2,PARK,,,,1
4114240015,R4,PARK,,,,1
2029830012,R7-1,PARK,,,,1
1021490002,R7-2,PARK,,,,1
4039140001,R4,PARK,,,,1
3082350284,R5,PARK,,,,1
5000020599,M1-1,PARK,,,,1
2050640050,R6,PARK,,,,1
3020050016,R7-2,PARK,,,,1
2055240224,C3A,PARK,,,,1
3082730197,R5,PARK,,,,1
2040030060,M1-1,PARK,,,,1
2032110001,R7-1,PARK,,,,1
3016920001,R6B,PARK,,,,1
3071130001,PLAYGROUND,PARK,,,,1
3045850193,R3-2,PARK,,,,1
4081620436,R2A,PARK,,,,1
4139320060,R3-2,PARK,,,,1
4013200064,R6,PARK,,,,1
1017890011,C4-4D,PARK,,,,1
5053180100,R3-1,PARK,,,,1
2031790035,R8,PARK,,,,1
2050640040,R6,PARK,,,,1
5077570006,R3X,PARK,,,,1
1016280044,R7A,PARK,,,,1
3031430023,M3-1,PARK,,,,1
3020050008,R7-2,PARK,,,,1
3033160031,R6,PARK,,,,1
4000320039,PLAYGROUND,PARK,,,,1
3016890001,R6B,PARK,,,,1
4156040286,R4A,PARK,,,,1
4039880065,R3-2,PARK,,,,1
2025500035,R6,PARK,,,,1
4160560019,R4-1,PARK,,,,1
3045850206,R3-2,PARK,,,,1
3023660004,PUBLIC PLACE,PARK,,,,1
3082730111,R5,PARK,,,,1
5001850135,M3-1,PARK,,,,1
4080720025,R1-2,PARK,,,,1
3021110015,C6-1,PARK,,,,1
3025560041,R6,PARK,,,,1
2040030001,M1-1,PARK,,,,1
4044220136,R1-2,PARK,,,,1
4160560023,R4-1,PARK,,,,1
4138660028,R3-2,PARK,,,,1
4156010056,R3X,PARK,,,,1
2029170049,M1-4/R7A,PARK,,,,1
2029170048,M1-4/R7A,PARK,,,,1
5074540003,R3-2,PARK,,,,1
2034400200,R3A,PARK,,,,1
4138440009,R3-2,PARK,,,,1
4138480008,R3-2,PARK,,,,1
4041540250,PLAYGROUND,PARK,,,,1
5027900201,M1-1,PARK,,,,1
4039071125,R3-2,PARK,,,,1
4118310001,C8-1,PARK,,,,1
2030380059,R6A,PARK,,,,1
4060480027,BALL FIELD,PARK,,,,1
5048030027,R3X,PARK,,,,1
5018010050,M3-1,PARK,,,,1
5053210110,R3-1,PARK,,,,1
4114560032,R4,PARK,,,,1
5053150125,R3-1,PARK,,,,1
5047870037,R3X,PARK,,,,1
2034400205,R3A,PARK,,,,1
4156040149,R4A,PARK,,,,1
2030310010,R7-1,PARK,,,,1
1021070001,R7-2,PARK,,,,1
4019320031,R6,PARK,,,,1
1016960100,PLAYGROUND,PARK,,,,1
2028530043,R8,PARK,,,,1
2022800052,R6,PARK,,,,1
4156040285,R4A,PARK,,,,1
1020050008,M1-2,PARK,,,,1
2027200009,R7-1,PARK,,,,1
2053540001,PLAYGROUND,PARK,,,,1
1012200049,R7-2,PARK,,,,1
1020050027,M1-1,PARK,,,,1
2026850030,R7-1,PARK,,,,1
3020050079,R7-2,PARK,,,,1
2025390191,M2-1,PARK,,,,1
4156030377,R4A,PARK,,,,1
1021390135,R8,PARK,,,,1
5018250210,M3-1,PARK,,,,1
4080720050,R1-2,PARK,,,,1
3020050005,R7-2,PARK,,,,1
4082030225,R2A,PARK,,,,1
2034400012,R3A,PARK,,,,1
5053140005,R3-1,PARK,,,,1
5064210025,R3X,PARK,,,,1
2031100007,R7-1,PARK,,,,1
2034630032,R3-2,PARK,,,,1
4139330084,R4,PARK,,,,1
4131970001,R3-2,PARK,,,,1
4113960130,R4,PARK,,,,1
5053080024,R3-1,PARK,,,,1
4121170001,R3-2,PARK,,,,1
3022720013,R7A,PARK,,,,1
1017360021,R7-2,PARK,,,,1
5017800300,M2-1,PARK,,,,1
2034300075,R3-2,PARK,,,,1
5080050178,R1-2,PARK,,,,1
5053080041,R3-1,PARK,,,,1
4138480001,R3-2,PARK,,,,1
1017890012,C4-4D,PARK,,,,1
2032720003,R6,PARK,,,,1
4139270011,R3-2,PARK,,,,1
4004650375,M1-4,PARK,,,,1
4159900200,R4-1,PARK,,,,1
3082730097,R5,PARK,,,,1
4160560001,R4-1,PARK,,,,1
5041600031,R3X,PARK,,,,1
2031940050,R7-1,PARK,,,,1
4114550057,R4,PARK,,,,1
4160610048,R4-1,PARK,,,,1
2051010080,R6,PARK,,,,1
2034400015,R3A,PARK,,,,1
1009900090,M3-2,PARK,,,,1
5027900180,M1-1,PARK,,,,1
5064420014,R3X,PARK,,,,1
5012010001,M3-1,PARK,,,,1
4041540100,PLAYGROUND,PARK,,,,1
2055210091,R3-1,PARK,,,,1
4139270035,R3-2,PARK,,,,1
4080740001,R1-2,PARK,,,,1
3045720016,R4,PARK,,,,1
4114560057,R4,PARK,,,,1
4004650425,M1-4,PARK,,,,1
2032570111,R4A,PARK,,,,1
3085911500,M1-1,PARK,,,,1
5017170175,M2-1,PARK,,,,1
1017710025,R7-2,PARK,,,,1
2028530048,R8,PARK,,,,1
2027900027,R8,PARK,,,,1
5078570200,R3A,PARK,,,,1
1003560090,R7-2,PARK,,,,1
2026080040,M1-1/R7-2,PARK,,,,1
3020050073,R7-2,PARK,,,,1
4139340080,R4,PARK,,,,1
5053140030,R3-1,PARK,,,,1
5017800210,M2-1,PARK,,,,1
3033160020,R6,PARK,,,,1
5001850048,M3-1,PARK,,,,1
2055290001,R3-1,PARK,,,,1
5041600329,R3X,PARK,,,,1
4081620455,R2A,PARK,,,,1
4139310043,R3-2,PARK,,,,1
5048030106,R3X,PARK,,,,1
4160560009,R4-1,PARK,,,,1
3017060001,R5B,PARK,,,,1
2034590026,R3A,PARK,,,,1
5054090001,R1-2,PARK,,,,1
2033990003,R6,PARK,,,,1
4160220001,R4-1,PARK,,,,1
4084010001,R3-2,PARK,,,,1
1021570045,R7-2,PARK,,,,1
5078260300,R1-2,PARK,,,,1
4160540017,R4-1,PARK,,,,1
2034420065,R3A,PARK,,,,1
4080750001,R1-2,PARK,,,,1
3033160025,R6,PARK,,,,1
1002540051,PLAYGROUND,PARK,,,,1
3020050004,R7-2,PARK,,,,1
4138460110,R3-2,PARK,,,,1
4160570026,R4-1,PARK,,,,1
4042360001,M2-1,PARK,,,,1
5048050400,R3X,PARK,,,,1
5078260268,R1-2,PARK,,,,1
4156030001,R4A,PARK,,,,1
4118310031,C8-1,PARK,,,,1
2023640025,PLAYGROUND,PARK,,,,1
4139310024,R3-2,PARK,,,,1
4138120050,R3-2,PARK,,,,1
5041300200,R3X,PARK,,,,1
3045850156,R3-2,PARK,,,,1
4081140116,R1-2,PARK,,,,1
2023720020,R7-1,PARK,,,,1
5077730076,R3X,PARK,,,,1
5041600034,R3X,PARK,,,,1
5047870020,R3X,PARK,,,,1
2028300052,R7-1,PARK,,,,1
2029170009,M1-4/R7A,PARK,,,,1
4160560025,R4-1,PARK,,,,1
4160540100,R4-1,PARK,,,,1
3045720032,R4,PARK,,,,1
4160570045,R4-1,PARK,,,,1
3082730091,R5,PARK,,,,1
5041600010,R3X,PARK,,,,1
4081030073,R1-2,PARK,,,,1
5047880290,R3X,PARK,,,,1
3082350255,R5,PARK,,,,1
3045850096,R3-2,PARK,,,,1
4160570040,R4-1,PARK,,,,1
1019600069,R7-2,PARK,,,,1
2028160022,R7-1,PARK,,,,1
2028780300,R7-1,PARK,,,,1
3001850044,R6A,PARK,,,,1
3020050074,R7-2,PARK,,,,1
3064070047,R5,PARK,,,,1
2025390175,M2-1,PARK,,,,1
4014870037,R6B,PARK,,,,1
5017170076,M2-1,PARK,,,,1
