bbl,lhlbl,segbblgeom,perbblgeom,perzonegeom,row_number
1008730019,LH-1,2.32369063661849e-08,9.59168419978629,0.894002699188196,1
1008730040,LH-1,1.18038975759898e-08,5.50883046815913,0.454136025148018,1
1008740020,LH-1,1.33515693236791e-08,100,0.513680213091426,1
1008740021,LH-1,5.62040315990175e-08,100,2.16235996147493,1
1008740023,LH-1,3.1190847250871e-08,100,1.20001781617643,1
1008740025,LH-1,2.08954575149292e-08,100,0.803919210446343,1
1008740026,LH-1,1.1163160695504e-08,100,0.429484701447832,1
1008740027,LH-1,1.25575532100264e-08,100,0.483131716763299,1
1008740028,LH-1,1.19338267038067e-08,100,0.459134839927446,1
1008740029,LH-1,1.17815664437e-08,100,0.453276870653509,1
1008740030,LH-1,1.2295809004008e-08,100,0.473061528288563,1
1008740031,LH-1,1.82260011831719e-08,100,0.701216160033878,1
1008740032,LH-1,1.61245692261158e-08,100,0.620366936296313,1
1008740033,LH-1,3.62954026857298e-08,100,1.39640739855046,1
1008740036,LH-1,3.87964677784553e-08,98.9103575534532,1.49263186614981,1
1008740049,LH-1,2.24941686115269e-08,98.3307797026615,0.865427055469136,1
1008740050,LH-1,2.27453000255085e-08,100,0.875088933793748,1
1008740051,LH-1,4.57402835977912e-08,100,1.75978404154376,1
1008740053,LH-1,2.18674037424794e-08,100,0.84131328249718,1
1008740054,LH-1,3.24945625863855e-08,100,1.25017617248065,1
1008740056,LH-1,1.96424154693421e-08,100,0.755710427689386,1
1008740057,LH-1,2.5163640208315e-08,100,0.968130693179176,1
1008740058,LH-1,2.39626806964097e-08,100,0.921925702362435,1
1008740060,LH-1,3.16671755433156e-08,100,1.21834378317197,1
1008740061,LH-1,3.03332492796111e-08,100,1.16702310986559,1
1008740062,LH-1,2.77280005275188e-08,100,1.06679034308832,1
1008740063,LH-1,1.38466217670818e-08,100,0.532726561760534,1
1008750001,LH-1,1.29735558048833e-09,1.71043704036575,0.0499136749309827,1
1008750008,LH-1,2.85084119783968e-09,6.0104944826276,0.10968154218388,1
1008750025,LH-1,5.85876836205471e-08,100,2.25406714949691,1
1008750026,LH-1,2.21211154052311e-08,100,0.851074431754365,1
1008750027,LH-1,7.59867863680965e-09,100,0.292346971860989,1
1008750028,LH-1,1.6753512742185e-08,100,0.644564529217762,1
1008750029,LH-1,1.96488453486281e-08,100,0.755957806981043,1
1008750032,LH-1,1.79906893752138e-08,100,0.692162915675517,1
1008750033,LH-1,1.76009339836913e-08,100,0.677167702175353,1
1008750034,LH-1,1.76818682164652e-08,100,0.680281516958456,1
1008750035,LH-1,1.57516836328527e-08,100,0.606020761224113,1
1008750036,LH-1,1.60678769008947e-08,100,0.61818579002098,1
1008750037,LH-1,1.57539994899884e-08,100,0.606109860112651,1
1008750038,LH-1,7.03186324994127e-10,3.16529966759787,0.0270539659053672,1
1008750047,LH-1,2.85751148134728e-09,1.98323381993078,0.109938170642341,1
1008750048,LH-1,3.0561128495176e-08,100,1.1757903971539,1
1008750053,LH-1,1.19822353194389e-07,100,4.60997283763864,1
1008750055,LH-1,5.97398755666692e-08,100,2.29839588644595,1
1008750056,LH-1,6.17615937090366e-08,100,2.37617824902863,1
1008750058,LH-1,3.03290992668315e-08,100,1.16686344478074,1
1008750059,LH-1,2.90057308268278e-08,100,1.11594896680593,1
1008750060,LH-1,2.87696328182364e-08,100,1.10686547463932,1
1008750061,LH-1,3.58526669301747e-08,100,1.3793738505275,1
1008750065,LH-1,4.09745507937018e-08,71.0679478135992,1.57643011639881,1
1008750067,LH-1,3.26391815845924e-08,71.6168154386338,1.25574015645999,1
1008750069,LH-1,3.27391085690852e-08,72.1711365609536,1.25958468690008,1
1008750070,LH-1,5.98790586813433e-08,52.2170342310576,2.30375073352582,1
1008750073,LH-1,2.74974210737384e-08,85.4086818687231,1.057919168466,1
1008750074,LH-1,2.64873597503049e-08,89.4800172203708,1.01905867923972,1
1008750075,LH-1,2.79072419615959e-08,84.79982729388,1.07368636975151,1
1008750076,LH-1,2.52966652459666e-08,100,0.973248618123488,1
1008750077,LH-1,2.62972399675633e-08,100,1.01174412556112,1
1008750079,LH-1,2.2619758448258e-08,17.4329232132376,0.870258922984494,1
1008760010,LH-1,2.79165897750904e-08,87.1448583117495,1.07404601188131,1
1008760011,LH-1,2.76017609866838e-08,87.8373136327961,1.06193347924972,1
1008760012,LH-1,2.47287790912047e-08,88.1335556968717,0.951400109239037,1
1008760013,LH-1,2.52451167057431e-08,88.1453181313936,0.971265370725026,1
1008760014,LH-1,2.72622327191479e-08,88.2117596863145,1.04887067377793,1
1008760016,LH-1,5.37568352709754e-08,88.5095442055046,2.06820800818838,1
1013760001,LH-1A,1.21324075838527e-08,4.31005227212771,0.238376702023177,1
1013760011,LH-1A,2.48829664968571e-08,100,0.488898798451876,1
1013760012,LH-1A,2.57743096220545e-08,100,0.506411846302193,1
1013760015,LH-1A,8.96429435051758e-09,4.00389136578248,0.176129833132659,1
1013760025,LH-1A,5.63810289736356e-11,0.17013393843163,0.00108633834949017,1
1013760026,LH-1A,1.76682392501593e-14,8.77148582230331e-05,3.40428087511328e-07,1
1013760037,LH-1A,2.34656630314572e-08,18.9510779476212,0.452131685273179,1
1013760042,LH-1A,5.06696369422309e-08,97.6831836249547,0.97629239421701,1
1013760045,LH-1A,6.74224737916675e-08,99.0211861097765,1.29908269201036,1
1013760046,LH-1A,4.13040133075719e-08,99.8092773567698,0.795837437888009,1
1013760048,LH-1A,2.0238546608766e-08,99.8216612007666,0.389952253786068,1
1013760051,LH-1A,3.20383343109447e-09,2.42250830988988,0.0617308194783761,1
1013760060,LH-1A,8.4077343079833e-09,35.5473171493735,0.16519458005117,1
1013760061,LH-1A,2.53231869605296e-08,100,0.497548219563725,1
1013760062,LH-1A,2.54829055790702e-08,100,0.500686359893769,1
1013760063,LH-1A,2.50014266409748e-08,98.360490070622,0.491226295140458,1
1013760064,LH-1A,2.48392550249015e-08,96.4899250675791,0.48803995848517,1
1013760065,LH-1A,2.64696597061205e-08,97.2789363254647,0.520074036485435,1
1013760066,LH-1A,6.03272550611519e-08,86.9589825234475,1.18530571975903,1
1013760069,LH-1A,2.49002030476818e-09,2.90292287297523,0.0489237461005984,1
1013770005,LH-1A,3.08771780167777e-08,69.1680514731306,0.606672650300517,1
1013770007,LH-1A,5.18005181932966e-08,100,1.01777298567218,1
1013770009,LH-1A,2.50704117160187e-08,100,0.492581709106247,1
1013770011,LH-1A,4.67704795696904e-08,100,0.91894313596121,1
1013770012,LH-1A,3.85811014687461e-08,90.7202033322618,0.758038803508508,1
1013770024,LH-1A,2.64372543835599e-08,45.0095940380956,0.509387710989062,1
1013770026,LH-1A,4.08736029920707e-08,100,0.787544378320689,1
1013770027,LH-1A,3.5848771109634e-08,100,0.690726926191811,1
1013770029,LH-1A,7.80434610173812e-08,100,1.5037257420358,1
1013770033,LH-1A,2.79158362236916e-08,21.2114567419393,0.537876729104462,1
1013770040,LH-1A,3.28255519334091e-08,24.4921269882821,0.632476145923453,1
1013770042,LH-1A,1.33161246578888e-08,100,0.25657241710187,1
1013770043,LH-1A,2.89214136867951e-08,100,0.557251993824503,1
