bbl,mih_option,segbblgeom,perbblgeom,perzonegeom,row_number
1005590012,Option 1 and Option 2,3.78825938431846e-14,2.01206449426122e-05,8.88052364213848e-06,1
1005590016,Option 1 and Option 2,1.58147491464919e-07,99.9999088109359,37.0732939444825,1
1005590055,Option 1 and Option 2,1.53941821123218e-07,99.9999460119085,36.0873911560965,1
1006750001,Option 1,2.90285384261941e-09,0.369646163185574,0.311520954236976,1
1006750001,Option 1 and Option 2,3.40344948055279e-14,4.33391452098409e-06,1.53073985177276e-05,2
1006750012,Option 1,6.3569111605795e-07,99.9999834900946,68.2194536172886,1
1006750039,Option 1 and Option 2,1.69577304935971e-07,99.9999409040295,76.2693085660817,1
1006750039,Option 1,7.17283681173843e-14,4.22983050449423e-05,7.69755933066683e-06,2
1009390017,Option 1 and Option 2,6.18580262968312e-11,0.0806878768377606,0.0230443235250377,1
1009390020,Option 1 and Option 2,2.49896330265791e-08,100,9.30953059305717,1
1009390021,Option 1 and Option 2,1.90318610808422e-08,99.9998740062078,7.0900478124856,1
1009390022,Option 1 and Option 2,2.06208973952436e-08,99.9998802783733,7.68202057841875,1
1009390023,Option 1 and Option 2,2.02886801878146e-08,99.9998136872347,7.55825780635999,1
1009390024,Option 1 and Option 2,1.94397709411174e-08,99.9999984819479,7.24200880044419,1
1009390025,Option 1 and Option 2,1.94145792979075e-08,99.9999760994845,7.23262401384476,1
1009390026,Option 1 and Option 2,2.4890543961408e-08,99.9998884393184,9.27261637816388,1
1009390027,Option 1 and Option 2,2.48903673907433e-08,99.9997808682312,9.27255059928657,1
1009390028,Option 1 and Option 2,2.52795887300583e-08,18.3133491636525,9.41754944588708,1
1009390038,Option 1 and Option 2,1.01785891052295e-14,7.24495747944988e-06,3.79188788276769e-06,1
1009390044,Option 1 and Option 2,1.29956597826984e-15,4.25934525811269e-06,4.84134729770607e-07,1
1009390045,Option 1 and Option 2,3.29386351274999e-14,0.000117303065063865,1.22708177062164e-05,1
1009390047,Option 1 and Option 2,3.142553516742e-15,1.16853384991701e-05,1.17071339436288e-06,1
1016170020,Option 1 and Deep Affordability Option,5.21957119846955e-07,100,41.6986438148197,1
1016170021,Option 1 and Deep Affordability Option,1.16744936646318e-08,100,0.932663880861689,1
1016170034,Option 1 and Deep Affordability Option,3.31700495080505e-08,100,2.64992281389263,1
1016170120,Option 1 and Deep Affordability Option,1.44085689451967e-07,100,11.510864810182,1
1016170125,Option 1 and Deep Affordability Option,7.59875210139475e-08,100,6.0705687357245,1
1016170140,Option 1 and Deep Affordability Option,4.17666832067137e-08,100,3.33669947231266,1
1016210032,Option 1 and Deep Affordability Option,6.12383743713296e-08,78.3836301645156,0.135311955748093,1
1016210035,Option 1 and Deep Affordability Option,2.15082381119851e-08,100,0.0475244778050627,1
1016210036,Option 1 and Deep Affordability Option,1.16192847992974e-07,100,0.256739040957152,1
1016210041,Option 1 and Deep Affordability Option,9.59113934725949e-09,15.5421381713873,0.0211925257039117,1
1016220031,Option 1 and Deep Affordability Option,9.23124507695702e-09,17.7817370714859,0.0203973054179866,1
1016220033,Option 1 and Deep Affordability Option,2.50996843542742e-08,100,0.0554601165282847,1
