field,count
zoningdistrict2,10901
commercialoverlay1,3854
zoningmapcode,2116
specialdistrict3,1521
specialdistrict1,619
zoningdistrict3,199
zoningdistrict1,184
commercialoverlay2,85
limitedheightdistrict,46
zoningdistrict4,13
specialdistrict2,5
zoningmapnumber,0
