zoningdistrict3edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
R5B,R4-1,R7A,,,1
,R6A,R6B,R7A,,1
,M1-5B,R7-2,M1-5A,,1
R3-2,C4-2,R6,,,1
,M1-1,R3-2,R3A,,1
,R1-2,M1-1,R6,,1
,C6-4A,C6-4,M1-5M,,1
,R6A,R3A,R3-1,,1
,R6A,R5D,R6B,,1
,R7B,R9A,R7-2,,1
,C8-1,R4-1,R4,,1
,R5D,R6A,R5B,,1
,R5B,R6A,R5D,,1
,C4-5X,M1-4/R7A,R6A,,1
,M1-1,C4-5X,C8-3,,1
,R6B,R5A,R5,,1
,R4-1,R5B,R4A,,1
,C4-2A,M2-1,C8-1,R3-2,1
,R6B,R5,R7B,,1
R8,R8B,C1-9,,,1
,C4-4A,R7A,R6B,,1
,R6B,M1-4,R6A,,2
,C4-2A,R6B,R4-1,,1
,R5,R7A,R7B,,1
,C5-2,C6-3,C2-8,,1
,R3-1,R4,R2,,1
PARK,R3A,,,,1
,R5D,R5B,R4-1,,1
,R7A,R5,R2,,1
,R9A,R8A,R7B,,1
,R6B,R4,R5,,3
,R7A,M1-4,R6A,,1
,R6B,C4-3,C4-4A,,1
,C5-3,R10,C6-6,,1
,M1-4,R6A,R5B,,1
,R6,R5,R7A,,1
,R3A,R2,R4,,1
,R7A,R3-2,R6A,,1
,C4-2F,C4-7,R10,,2
R3-2,PARK,,,,2
,R3-2,R3-1,R2A,,1
,C5-3,C5-2.5,R8B,,1
,R7A,R4-1,R6A,R5,1
,C4-2,C4-4A,R6A,,1
,R6B,R6A,C4-3A,,1
,R6B,R3-2,R3X,,1
,C4-2,R5B,R5D,,1
R6,R7-2,C2-6,,,1
,R7A,R6A,R5,,1
R3A,R3-2,M3-1,,,1
,C2-6,R6,C1-6,,1
,C4-4A,C4-2A,R6B,,1
,R5,R6B,R5A,,1
,M1-1,R5B,R4-1,,1
,R4,R5D,R6A,,1
,M1-1,R5,R6B,,1
,R6B,C4-2A,C4-3,,1
C6-7,C6-6,,,,1
,R8,R6,M1-2,,1
R3-2,R3-1,R5,,,1
,R3-1,R2,R3X,,2
,R6B,R6,R4,,1
C5-2.5,R10H,C5-1,,,1
R7-2,M1-6/R10,,,,1
,M3-1,M1-1,R6B,,1
C3,M1-1,M2-1,,,1
,R7B,R5B,R5A,,1
,R3A,R3-2,R6,,1
,R7B,C4-4,R4A,,1
PARK,PARKUS,,,,1
,R3-2,R3A,R6,,1
,C4-6A,R8B,R10A,,1
,R6,R5,R6A,,1
,M3-1,R3A,R3X,,1
,R5D,R4-1,R4A,,1
,C1-7,C6-1,R7-2,,1
,R2A,R3-1,R3-2,,1
,M1-4D,R5B,R4-1,,1
C6-2A,PARK,,,,1
,C4-4A,R6A,M1-4/R7A,R5,1
M3-1,PARK,,,,2
R8,R10,R10A,,,1
,C6-4,C6-2A,R8B,,1
,R5,R4,R6B,,1
,R7A,R7D,R7B,,1
,R8A,R6A,R6B,,1
,R7D,R7A,R7B,,1
,C2-8,C8-4,R8B,,1
R6B,R7B,,,,1
,R7A,R5B,R7X,,1
,R7A,R5A,R7B,,1
,C4-4A,R7A,R5B,,1
,C1-9,R10A,R8B,,2
,R4A,R4-1,R5B,,1
C3,PARK,,,,1
R7A,R5B,R4-1,,,1
,R4-1,R5B,R4B,,1
,C1-9,R10,R8B,,1
,R10,C2-8,R8,,1
R6A,R7A,R8A,,,1
,R8B,R10A,C1-9,,1
,R7A,R4-1,R5B,,1
,M1-1,C4-2,C4-2A,,2
C4-1,M1-1,,,,1
,R7A,R5,R4A,,1
R8,PARK,,,,1
,C8-2,R6A,R6B,,1
,R5,R4,C8-1,,1
,C2-6,C1-6,R6,,1
,R3X,R6A,R3A,,1
M1-1,R6B,R5B,,,1
,R1-1,R1-2,R6,R6A,1
PARK,R3-1,R3-2,,,1
,R6A,R3-1,R3X,,1
,C6-4A,M1-5M,C6-4,,1
R5B,R4B,,,,1
,M1-4,R6A,R8A,,1
,C8-1,R3A,R3-2,,1
,R2,R4,R5,,1
M1-1,R4,R5,,,1
,R4,R5,R6B,,1
R10,R8B,C1-9,,,1
,C5-2.5,C5-3,C6-6,,1
,R7-2,C3,R8,,1
,R5B,R6B,R7X,,1
,R5B,R6A,R7A,,2
,R5D,R6,R6B,,1
,R6B,R7A,R5B,,1
,R5,R7B,R6B,,1
,R7D,R5D,R5B,,1
,M1-4/R7A,R5,R6A,,1
,R3-2,R3A,C8-1,,2
,R6A,R5B,R4-1,,2
,R5D,R7B,R6B,R5,1
,R7A,R6B,R8A,,1
,R7A,R5B,M1-4,R6A,1
,R3X,R6A,R4,,1
,C4-5X,M1-4/R7X,M1-4/R7A,,1
R7A,R4-1,R5B,,,1
R5,M1-1,R6A,,,1
,R4-1,R4,M1-1,M3-1,1
,C4-3A,R6B,R6A,,1
,C5-1,R8B,R10,,1
,R3A,R4,C8-1,,1
,C8-1,M1-1,R5,,1
PARK,R5A,,,,1
,M1-2/R6A,M1-2/R5D,M1-2/R5B,,2
,R7A,R5,R6A,,2
,M1-1,C8-1,C4-2,,1
,R3A,R3-2,M1-1,,1
M1-1,PARK,,,,1
,R7A,R5B,R6B,,1
R6,R3A,,,,1
,C6-2,M1-1,R7-1,,1
,M1-1,R3A,R5B,R6B,1
,R5,R6A,R6,,1
,C8-1,R3-2,R3-1,,2
R4,M1-1,,,,1
R8A,PARK,,,,1
,R8B,R7-2,R7A,,1
,M1-1,R2A,R3-2,,1
R3-1,R7A,R5,,,1
,C4-4A,C4-3,R6B,,1
,R10A,C1-9,R8B,,1
,M1-4,R8A,R6A,,1
,R3-1,R2A,R1-2,,1
R3-1,R3X,,,,1
C4-2,M1-1,M3-1,,,1
,R6B,M1-4,R7A,,3
,C1-6,C4-5,R6,,1
,R8,R8B,R9A,,1
,R6A,R5D,R4,,1
,R5D,R4-1,C8-1,,1
R7B,R4,C8-1,,,1
,R5,M1-1,R6B,,1
,R6A,R3X,R3-1,,1
M2-1,M3-1,,,,1
M3-1,R7-3,C4-3,,,1
,C6-4M,M1-5M,C6-2A,,1
,R5B,R7B,R6B,,1
,R5B,R6B,M1-4D,,1
,R5,R4A,R4-1,,1
,C8-3,M1-1,C4-5X,,1
,R5B,R4-1,R6A,,1
,R5D,R2A,R4,,1
,R3X,R6A,R5,,1
C4-5X,R6,C4-2,,,1
,R7A,R7B,R6B,,1
,R8B,R7A,R8A,,1
,R7B,R5B,R7D,,1
,C4-7,C4-2F,R10,,1
,R1-2,R2,R3X,,1
,R4-1,R6,R2,,1
,R6,R5A,R5,,1
,R3-1,C8-1,R3X,,1
,M1-1,R6A,R4,,1
,R7-1,R7B,R4,,1
,R6B,R6A,R7A,M1-4,1
,R7D,R6A,R6B,,1
R4-1,R5B,R7A,,,1
R10,C1-7,R6,,,1
,R6,R4,C4-3,,1
,R6A,R7D,R6B,,1
,C6-3X,C6-2A,C1-9A,,1
,M3-1,M1-2,M1-4,R6B,1
,R6B,R6A,R8A,,1
,C5-3,C6-6,C5-2.5,,1
,R7A,R5B,C4-4A,,1
,R4,R4-1,M1-1,,1
,C8-1,R3A,R4,,1
,R7A,R8B,R8A,,1
,R2,R3-1,R3-2,,1
M1-1,R3A,,,,1
,C6-4,C6-6,C6-5,,1
