zoningdistrict3edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
,C6-2M,C6-3A,C6-2A,,1
,R5B,R7A,R6A,,1
,R10A,R8B,R9X,,1
,C4-4A,R6A,R6B,,1
,C8-2,R5B,R5,,1
R6,R5,R4-1,,,2
,R7-1,C4-4,R8,,1
,R4,C8-1,R4B,,1
,R3-2,R4B,R3X,,1
,R3-2,R1-2,R2,,1
R6,R6B,,,,1
,C3A,R4A,R4,,1
,R3A,R6A,R4,,1
,R6A,C4-4A,R7A,,1
,C5-2,C5-3,C5-2.5,,1
,M1-1,C8-1,M2-1,,1
,R10,R8,R9,,1
,R5,R3-1,R6A,,1
,R7A,R6A,R4-1,,1
,R5D,C8-1,R4-1,,1
,R7B,R7A,R6B,,1
,R8B,C6-2A,C6-1,,1
,C8-1,R6B,R3X,,1
