commercialoverlay1edm,commercialoverlay1,commercialoverlay2,count
,C2-4,,836
,C1-2,,621
,C1-3,,615
,C2-3,,568
,C1-4,,535
C2-5,,,427
,C2-2,,398
C2-4,,,318
C1-5,,,242
C1-4,,,146
C1-3,,,143
C2-3,,,102
,C1-1,,100
,C1-5,,91
C2-2,,,83
C1-2,,,71
,C2-1,,63
C2-3,C1-3,,60
C2-2,C1-2,,60
C1-3,C2-3,,58
C1-2,C1-1,,49
,C2-5,,45
C2-2,C2-3,,41
C2-4,C1-4,,36
C1-4,C1-3,,35
C2-2,C2-4,,32
C2-3,C1-4,,28
C2-1,,,26
C1-2,C2-2,,22
C2-4,C2-3,,20
C2-4,C2-2,,19
C1-4,C2-4,,15
C2-3,C2-5,,11
C2-3,C2-4,,10
C1-1,C1-3,,8
C1-1,,,8
C1-2,C1-4,,7
C1-4,C1-2,,7
C2-4,C1-2,,6
C2-2,C1-3,,5
C1-2,C1-3,,5
C2-5,C1-4,,3
C1-3,C1-2,,2
C2-3,C2-2,,2
,C1-2,C2-2,2
C2-4,C1-3,,1
,C1-3,C2-3,1
C1-5,C2-5,,1
,C2-3,C1-3,1
C2-1,C1-1,,1
,C2-4,C1-4,1
,C1-4,C2-4,1
,C2-5,C1-5,1
C1-4,C2-4,C1-3,1
C2-4,C1-5,,1
C1-2,C2-4,,1
