\N	R2A	R4	R3A	\N	1
\N	R8B	R4-1	R4	\N	1
\N	C6-2	C1-7	R6	\N	1
\N	C4-1	M1-1	C8-1	\N	1
\N	C6-2A	R8A	R8B	\N	1
\N	R2	R3X	R3-1	\N	1
\N	R6A	R5B	R5D	\N	1
\N	R6A	R3-1	R3X	\N	1
\N	C6-4A	M1-5M	C6-4	\N	1
\N	R4A	R4	R2	\N	1
\N	M1-4	R6A	R8A	\N	1
\N	R6A	R6B	R7A	\N	1
\N	C4-5X	R6A	R7X	\N	1
\N	C8-1	R3A	R3-2	\N	1
\N	R2	R4	R5	\N	1
\N	M1-1	C4-4	M3-1	\N	1
\N	M1-5B	R7-2	M1-5A	\N	1
\N	R5	M1-4	R4-1	\N	1
\N	R4	R5	R6B	\N	1
\N	R2	C3A	R3-1	\N	1
\N	R7A	R7B	R6A	\N	1
\N	M3-1	M1-2	R6B	\N	1
\N	R5B	R4	R2	\N	1
\N	M1-1	R3-2	R3A	\N	1
\N	R1-2	M1-1	R6	\N	1
\N	R7-2	C3	R8	\N	1
\N	R10A	R8	C4-7	\N	1
\N	C6-4A	C6-4	M1-5M	\N	1
\N	R5B	R6B	R7X	\N	1
\N	R5B	R6A	R7A	\N	2
\N	R6A	R3A	R3-1	\N	1
\N	R7A	R6	R4-1	\N	1
\N	R5D	R6	R6B	\N	1
\N	R6A	R5D	R6B	\N	1
\N	R5	R4A	R4	R2	1
\N	R3X	R3-2	R3-1	\N	1
\N	R6B	R7A	R5B	\N	1
\N	R7B	R9A	R7-2	\N	1
\N	C8-1	R4-1	R4	\N	1
\N	R3A	R4	R7A	\N	1
\N	R5	R7B	R6B	\N	1
\N	R5D	R6A	R5B	\N	1
\N	R5B	R6A	R5D	\N	1
\N	R7D	R5D	R5B	\N	1
\N	M1-4/R7A	R5	R6A	\N	1
\N	C4-5X	M1-4/R7A	R6A	\N	1
\N	R8B	R10	C5-1	\N	1
\N	M1-1	C4-5X	C8-3	\N	1
\N	C6-4	C6-2A	C6-1	\N	1
\N	R6B	R5A	R5	\N	1
\N	R3-2	R3A	C8-1	\N	2
\N	R4-1	R5B	R4A	\N	1
\N	R6A	R5B	R4-1	\N	2
\N	C5-2.5	C5-2	C6-6	\N	1
\N	R5D	R7B	R6B	R5	1
\N	R7A	R6B	R8A	\N	1
\N	R8B	R10	R9X	\N	2
\N	C4-2A	M2-1	C8-1	R3-2	1
\N	R6B	R5	R7B	\N	1
\N	C4-4A	R7A	R6B	\N	1
\N	R7A	R5B	M1-4	R6A	1
\N	M1-1	R3-1	R3-2	\N	1
\N	R3X	R6A	R4	\N	1
\N	C4-5X	M1-4/R7X	M1-4/R7A	\N	1
\N	C1-9A	R8	C1-9	\N	1
\N	R7A	R6	R5A	\N	1
\N	R4-1	R4	M1-1	M3-1	1
\N	C4-3A	R6B	R6A	\N	1
\N	R6B	M1-4	R6A	\N	2
\N	R5	R2X	R6A	\N	1
\N	C5-1	R8B	R10	\N	1
