\N	C4-2A	R6B	R4-1	\N	1
\N	R3A	R4	C8-1	\N	1
\N	R5	R7A	R7B	\N	1
\N	C5-1	R10	R8B	\N	1
\N	R5	C8-1	R7-1	\N	1
\N	C2-8A	C1-9A	R8B	C1-8A	1
\N	M2-1	C8-1	M1-1	\N	1
\N	C5-2	C6-3	C2-8	\N	1
\N	C8-1	M1-1	R5	\N	1
\N	R3-1	R4	R2	\N	1
\N	C1-9A	C2-8A	R8B	R8A	1
\N	R3-1	R4-1	R6B	\N	1
\N	M1-2/R6A	M1-2/R5D	M1-2/R5B	\N	2
\N	R7A	R5	R6A	\N	2
\N	M1-1	C8-1	C4-2	\N	1
\N	R3A	R3-2	M1-1	\N	1
\N	M2-1	M3-1	M1-1	\N	1
\N	R8A	R7D	R7A	\N	1
\N	R7A	R5B	R6B	\N	1
\N	R1-2	R3X	R2	R4-1	1
\N	R5D	R5B	R4-1	\N	1
\N	R7A	R5	R2	\N	1
\N	R9A	R8A	R7B	\N	1
\N	C6-2	M1-1	R7-1	\N	1
\N	C6-4	M1-6	C6-4M	\N	1
\N	R6B	C4-2A	R5B	\N	1
\N	R6B	R4	R5	\N	3
\N	M1-1	R3A	R5B	R6B	1
\N	R7A	M1-4	R6A	\N	1
\N	R6B	C4-3	C4-4A	\N	1
\N	C6-1	M1-1	C4-4A	R7A	1
\N	C5-3	R10	C6-6	\N	1
\N	M1-4	R6A	R5B	\N	1
\N	R6	C4-2	R7A	\N	1
\N	R6	R5	R7A	\N	1
\N	M1-2/R5B	M1-2/R5D	M1-2/R6A	\N	1
\N	R5	R6A	R6	\N	1
\N	C8-1	R3-2	R3-1	\N	2
\N	R3A	R2	R4	\N	1
\N	R7A	R3-2	R6A	\N	1
\N	C4-2F	C4-7	R10	\N	2
\N	R4	R6B	R5	\N	1
\N	C6-3A	M1-6	C6-4X	\N	1
\N	R4-1	R6	M1-1	\N	1
\N	C8-1	M1-1	R5B	\N	1
\N	M1-4/R6B	R7X	R6A	\N	1
\N	R6B	R6A	R8A	\N	2
\N	R8B	R7-2	R7A	\N	1
\N	M1-1	R2A	R3-2	\N	1
\N	C4-4A	C4-3	R6B	\N	1
\N	R6B	R6A	R7A	\N	1
\N	R3-2	R3-1	R2A	\N	1
\N	C5-3	C5-2.5	R8B	\N	1
\N	R7A	R2	R4	\N	1
\N	R3-1	R4	R7-1	R7B	1
\N	R7A	R4-1	R6A	R5	1
\N	C4-2	C4-4A	R6A	\N	1
\N	R6B	R6A	C4-3A	\N	1
\N	C8-2	R7-1	R5	\N	1
\N	R6B	R3-2	R3X	\N	1
\N	C1-9	R10A	R8B	\N	3
\N	R10A	C1-9	R8B	\N	1
\N	M1-4	R8A	R6A	\N	1
\N	R3-1	R2A	R1-2	\N	1
\N	R1-2	R3X	R2	\N	1
\N	C4-2	R5B	R5D	\N	1
\N	R6B	M1-4	R7A	\N	3
\N	R6	C2-6	C1-6	\N	1
\N	C1-6	C4-5	R6	\N	1
\N	M1-2	M3-1	C4-2	\N	1
\N	R7A	R6A	R5	\N	1
\N	R8	R8B	R9A	\N	1
\N	R6A	R5D	R4	\N	1
\N	R5D	R4-1	C8-1	\N	1
\N	C5-2.5	C5-3	C6-6	\N	3
\N	R3A	R5B	R6B	\N	1
\N	C4-2A	R4	R3-2	\N	1
\N	C1-9A	R7B	R7-2	\N	1
\N	C2-6	R6	C1-6	\N	1
\N	C4-4A	C4-2A	R6B	\N	1
\N	R5	R6B	R5A	\N	1
\N	R5	M1-1	R6B	\N	1
\N	M1-1	R5B	R4-1	\N	1
\N	R6A	R3X	R3-1	\N	1
\N	R3-1	M1-1	R5	\N	1
\N	R4	R5D	R6A	\N	1
\N	R6B	C4-2A	C4-3	\N	1
\N	R6B	M1-1	R5	\N	1
\N	R8	C6-4	R7-1	\N	1
\N	R7-2	C4-4	C8-3	\N	1
\N	C6-4M	M1-5M	C6-2A	\N	1
\N	R6B	R5	C8-1	\N	1
\N	R5B	R7B	R6B	\N	1
\N	R8	R6	M1-2	\N	1
\N	R3-1	R2	R3X	\N	2
\N	R6B	R6	R4	\N	1
\N	C1-9	C1-9A	R8	\N	1
\N	R5B	R6B	M1-4D	\N	1
\N	R5	R4	R2	\N	1
\N	R6B	C4-5D	M1-1	\N	1
\N	R5	R4A	R4-1	\N	1
\N	C8-3	M1-1	C4-5X	\N	1
\N	R5B	R4-1	R6A	\N	1
\N	M1-4/R6B	M1-4/R6A	R6A	\N	1
\N	R5D	R2A	R4	\N	1
\N	R3X	R6A	R5	\N	1
\N	C4-4	C8-2	R7D	\N	1
\N	R5	M1-1	R4A	\N	1
\N	M3-1	M1-1	R6B	\N	1
\N	C4-2	C4-1	M1-1	\N	1
\N	R7B	R5B	R5A	\N	1
\N	R3A	R3-2	R6	\N	1
\N	R7B	C4-4	R4A	\N	1
\N	R7A	R7B	R6B	\N	1
\N	R8B	R7A	R8A	\N	1
\N	R3-2	C3A	R3-1	\N	1
\N	R7B	R5B	R7D	\N	1
\N	C5-2.5	C5-3	C5-2	\N	1
\N	C4-7	C4-2F	R10	\N	1
\N	R1-2	R2	R3X	\N	1
\N	R4-1	R6	R2	\N	1
\N	R3-2	R3A	R6	\N	1
\N	R6	R5A	R5	\N	1
\N	R3-1	C8-1	R3X	\N	1
\N	C4-6A	R8B	R10A	\N	1
\N	C6-4A	C4-5A	C6-2A	\N	1
\N	C2-8A	R8B	C2-8	\N	1
\N	R6	R5	R6A	\N	1
\N	M3-1	R3A	R3X	\N	1
\N	R5D	R4-1	R4A	\N	1
\N	M1-1	R5	R6B	\N	2
\N	M1-1	R6A	R4	\N	1
\N	C1-7	C6-1	R7-2	\N	1
\N	R2A	R3-1	R3-2	\N	1
\N	R7-1	R7B	R4	\N	1
\N	R6B	R6A	R7A	M1-4	1
\N	R7D	R6A	R6B	\N	1
\N	C1-9	C2-8	R7-2	\N	1
\N	M1-4D	R5B	R4-1	\N	1
\N	R2X	R6A	R5	\N	1
\N	R10	R8	C2-8	\N	1
\N	R6A	R7A	R6B	\N	1
\N	C4-4A	R6A	M1-4/R7A	R5	1
\N	R6	R4	C4-3	\N	1
\N	R6A	R7D	R6B	\N	1
\N	R7A	R6A	R6B	\N	1
\N	C6-3X	C6-2A	C1-9A	\N	1
\N	M3-1	M1-2	M1-4	R6B	1
\N	R7B	R5	R6B	\N	1
\N	C5-3	C6-6	C5-2.5	\N	1
\N	R7A	R5B	C4-4A	\N	1
\N	R4	R4-1	M1-1	\N	1
\N	R8B	R10	C1-8X	\N	1
\N	R4-1	C8-1	M1-1	\N	1
\N	C8-1	R3A	R4	\N	1
\N	R7A	R8B	R8A	\N	1
\N	C6-4	C6-2A	R8B	\N	1
\N	R2	R3-1	R3-2	\N	1
\N	R4B	R4	R5D	\N	1
\N	R9A	R8B	C1-9A	\N	1
\N	R5	R4	R6B	\N	1
\N	C6-4	C6-6	C6-5	\N	1
\N	C6-2M	C6-3A	C6-2A	\N	1
\N	R5B	R7A	R6A	\N	1
\N	R10A	R8B	R9X	\N	1
\N	C4-4A	R6A	R6B	\N	1
\N	C8-2	R5B	R5	\N	1
\N	R7A	R7D	R7B	\N	1
\N	R8B	C1-9	R9X	\N	1
\N	C6-2A	C6-3A	C6-3X	\N	1
\N	R7-1	C4-4	R8	\N	1
\N	R8A	R6A	R6B	\N	1
\N	R4	C8-1	R4B	\N	1
\N	R7D	R7A	R7B	\N	1
\N	R4-1	R7X	R5B	\N	1
\N	C2-8	C8-4	R8B	\N	1
\N	R3-2	R4B	R3X	\N	1
\N	R3-2	R1-2	R2	\N	1
\N	R8B	C6-2A	C1-9	\N	1
\N	R5B	C4-2A	C4-3	\N	1
\N	C8-1	R3-2	R4	\N	1
\N	R7B	R5	R4	\N	1
\N	C6-6	C5-2	C1-9	\N	1
\N	R7B	R5	R7A	\N	1
\N	R7A	R7D	R6A	\N	1
\N	R7A	R5B	R7X	\N	1
\N	R7A	R5A	R7B	\N	1
\N	C4-4A	R7A	R5B	\N	1
\N	C3A	R4A	R4	\N	1
\N	M1-4/R7A	C4-5X	R7-1	\N	1
\N	R4A	R4-1	R5B	\N	1
\N	C6-3	C6-4	M1-5	\N	1
\N	R3A	R6A	R4	\N	1
\N	R4-1	R5B	R4B	\N	1
\N	R6A	C4-4A	R7A	\N	1
\N	C5-2	C5-3	C5-2.5	\N	1
\N	C1-9	R10	R8B	\N	1
\N	R10	C2-8	R8	\N	1
\N	R10	R7-2	C1-7	\N	1
\N	M1-1	C8-1	M2-1	\N	1
\N	R8B	R10A	C1-9	\N	1
\N	R3-2	R4	M1-1	\N	1
\N	R5	C8-1	R7X	\N	1
\N	R7A	R4-1	R5B	\N	1
\N	C1-9A	R8A	R9A	R8B	1
\N	M1-1	C4-2	C4-2A	\N	2
\N	R7A	R5	R4A	\N	1
\N	M1-1	R6B	C4-5D	\N	1
\N	R5D	R3-2	R4	\N	1
\N	C8-2	R6A	R6B	\N	1
\N	R9A	C2-8A	C6-4A	\N	1
\N	R3X	R1-2	R6A	\N	1
\N	R10	R8	R9	\N	1
\N	R5	R3-1	R6A	\N	1
\N	R5	R4	C8-1	\N	1
\N	C2-6	C1-6	R6	\N	1
\N	R7A	R6A	R4-1	\N	1
\N	R3-1	R4-1	M1-1	C8-1	1
\N	R5D	C8-1	R4-1	\N	1
\N	R7A	R6B	R6	\N	1
\N	R7B	R7A	R6B	\N	1
\N	R8B	C6-2A	C6-1	\N	1
\N	C8-1	R6B	R3X	\N	1
\N	R3X	R6A	R3A	\N	1
\N	R7A	R7D	R8A	\N	1
\N	C6-4	C6-4M	C6-1	\N	1
\N	R1-1	R1-2	R6	R6A	1
