C1-1	C1-2	\N	1
C1-1	C2-1	\N	3
C1-2	C1-1	\N	3
C1-2	C1-3	\N	1
C1-2	C2-2	\N	7
C1-2	\N	\N	5
C1-3	C1-2	\N	2
C1-3	C1-4	\N	8
C1-3	C2-3	\N	16
C1-3	C2-4	\N	4
C1-4	C2-4	\N	23
C1-4	\N	\N	15
C1-5	C1-4	\N	4
C1-5	C2-5	\N	5
C1-5	\N	\N	25
C2-1	C2-2	\N	1
C2-1	C2-3	\N	2
C2-1	\N	\N	6
C2-2	C1-2	\N	13
C2-2	C1-3	\N	6
C2-2	C2-1	\N	1
C2-2	C2-3	\N	5
C2-2	\N	\N	3
C2-3	C1-3	\N	23
C2-3	C2-4	\N	1
C2-3	\N	\N	7
C2-4	C1-2	\N	6
C2-4	C1-3	\N	1
C2-4	C1-4	\N	54
C2-4	C2-1	\N	1
C2-4	C2-3	\N	15
C2-4	\N	\N	10
C2-5	C1-4	\N	1
C2-5	C1-5	\N	2
C2-5	\N	\N	25
\N	C1-2	C2-2	2
\N	C1-3	C1-4	1
\N	C1-4	C2-4	6
\N	C1-5	C2-5	1
\N	C2-2	C1-2	1
\N	C2-3	C1-3	1
\N	C2-4	C1-4	1
