field,count
specialdistrict2,44585
specialdistrict1,1289
zoningdistrict2,278
commercialoverlay2,144
commercialoverlay1,54
zoningdistrict3,39
specialdistrict3,25
zoningdistrict4,10
limitedheightdistrict,10
zoningdistrict1,0
zoningmapcode,0
zoningmapnumber,0
