boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,zoningmapnumber,zoningmapcode,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
3,352,52,3003520052,R6B,,,,,,,,,,16A,,3003520052,M1-1,,,,,,,,,,16A,,0106000020E6100000010000000103000000010000000500000097AF90604A8052C003979B046A5744409A14A07C4C8052C0228019416157444054E4A7984D8052C068395DDF61574440C77A977C4B8052C08F8ADDA26A57444097AF90604A8052C003979B046A574440
1,1435,5,1014350005,C2-8,C8-4,,,,,TA,,,,8C,,1014350005,C8-4,C2-8,,,,,TA,,,,8C,,0106000020E6100000010000000103000000010000000D0000000EC55077A07D52C0DD44ABE97A61444090932174A37D52C0B8F35AC47261444044D6666DA67D52C0B5D6B0A86A6144401A2A530AA97D52C0098B23DE6C614440B9A8F9C9A77D52C036109D4770614440B0CE7737A77D52C0DAAD12D7716144407CF08F12A67D52C0805FB4F574614440E2DCBF81A57D52C0F82ED48076614440A7FD8DEFA47D52C024AF270F786144405066235AA47D52C05F4889A6796144400E9326BDA37D52C0458B94527B61444028FA3D14A37D52C0640B1F1F7D6144400EC55077A07D52C0DD44ABE97A614440
5,7459,75,5074590075,R3-2,,,,,,SRD,,,,32D,,5074590075,PARK,R3-2,,,,,SRD,,,,32D,,0106000020E61000000100000001030000000100000007000000E9969E01DB8E52C0ABB4FAD01F4444401B635EA8DB8E52C0476B04F71944444073D75DE8DC8E52C0BB79DA2C1A44444056A77DA6DD8E52C0E517E98013444440B195303DDF8E52C0F9F969B2134444404F4376CADD8E52C09711CDB420444440E9969E01DB8E52C0ABB4FAD01F444440
5,7453,1,5074530001,R3-2,,,,,,SRD,,,,32D,,5074530001,PARK,R3-2,,,,,SRD,,,,32D,,0106000020E61000000100000001030000000100000005000000AAAF0CB2C28E52C0BC67E75E154444401DCBA900CE8E52C02E40AA731744444035636C8ECD8E52C06276DB751B444440C471046EC28E52C06A9500C217444440AAAF0CB2C28E52C0BC67E75E15444440
3,352,49,3003520049,R6B,,,,,,,,,,16A,,3003520049,M1-1,,,,,,,,,,16A,,0106000020E610000001000000010300000001000000050000004A9CF834488052C063510ACF68574440F9BA2012478052C01686FB2C68574440C725322E498052C054EA79695F574440BF7F08514A8052C0568B880B605744404A9CF834488052C063510ACF68574440
3,352,50,3003520050,R6B,,,,,,,,,,16A,,3003520050,M1-1,,,,,,,,,,16A,,0106000020E61000000100000001030000000100000005000000BF7F08514A8052C0568B880B605744406F4F98604B8052C002A0D7A2605744409E648744498052C0958D5966695744404A9CF834488052C063510ACF68574440BF7F08514A8052C0568B880B60574440
3,3237,21,3032370021,R6B,,,,,,,,,,13B,,3032370021,R6,,,,,,,,,,13B,,0106000020E6100000010000000103000000010000000500000062FC5775E67A52C07C88D834165A444040D48E5AE77A52C0121EBD62145A4440D4079055EC7A52C057AED6131A5A444080095870EB7A52C0E977F0E51B5A444062FC5775E67A52C07C88D834165A4440
3,6665,7,3066650007,C8-2,,,,,,OP,,,,22D,,3066650007,C4-2,C8-2,,,,,OP,,,,22D,,0106000020E61000000100000001030000000100000006000000B6ED8DE7B07D52C028FD7206BA4D4440378DEF9EB57D52C08C1568FFB84D444006B9907AB67D52C01C8F6CE4C14D4440D1B879BEB17D52C069EE86EDC24D44408D3BA7E7B07D52C036247607BA4D4440B6ED8DE7B07D52C028FD7206BA4D4440
5,7459,25,5074590025,R3-2,,,,,,SRD,,,,32D,,5074590025,PARK,R3-2,,,,,SRD,,,,32D,,0106000020E6100000010000000103000000010000000E00000006DDC014008F52C0DDA55E7D2A4444409A720487FD8E52C003F23CFA29444440F7EAC431FA8E52C0390E130429444440C0D01925F78E52C088D4D822284444402EAB5BFAF68E52C0D7A42C812B4444402932631EF18E52C023D8C1282A444440E0EE3B31EB8E52C0ECC25FCC28444440A5C79A47EB8E52C0A8093CF22644444079720B6BEB8E52C0D0BFF33D244444405727DCA0E38E52C046B48C382244444065A6302AE58E52C05487106B14444440E1AE2275078F52C0B46978971844444076F8A5EE068F52C0BDC125DD2B44444006DDC014008F52C0DDA55E7D2A444440
3,352,51,3003520051,R6B,,,,,,,,,,16A,,3003520051,M1-1,,,,,,,,,,16A,,0106000020E610000001000000010300000001000000050000009E648744498052C0958D5966695744406F4F98604B8052C002A0D7A2605744409A14A07C4C8052C0228019416157444097AF90604A8052C003979B046A5744409E648744498052C0958D596669574440
5,7453,10,5074530010,R3-2,,,,,,SRD,,,,32D,,5074530010,PARK,R3-2,,,,,SRD,,,,32D,,0106000020E610000001000000010300000001000000050000005C8886B9BF8E52C0437440E61644444050F27DF3BF8E52C0D76B96DD14444440AAAF0CB2C28E52C0BC67E75E15444440C471046EC28E52C06A9500C2174444405C8886B9BF8E52C0437440E616444440
1,1324,21,1013240021,C1-9,R8B,,,,,,,,,8D,,1013240021,R8B,C1-9,,,,,,,,,8D,,0106000020E6100000010000000103000000010000000F000000FE681F0A017E52C0FBFDD1DEA860444084EA05AC017E52C0B9FAC420A7604440599C24A2027E52C0353248F0A760444073CF658D037E52C02120A0B6A86044404BE63D8A047E52C0E281CE8BA96044409857A494017E52C012E017B3B16044402CD0CA97007E52C0BD39EBDDB0604440CA74C944007E52C06776EE97B0604440BABA8AACFF7D52C00C2D9117B06044407AD0BF3CFF7D52C005E44EB9AF60444093996AB6FE7D52C04DC30D48AF6044406A887446FF7D52C0343635BBAD604440A6926AD4FF7D52C0622F1634AC604440103B9F6A007E52C07971BF98AA604440FE681F0A017E52C0FBFDD1DEA8604440
